item_id	checkbox_state	claim_state	assigned_agent	tmux_session	slot	path_type	path	dependencies	owned_path_scope	worker_output	master_status
ASK_GEMINI-HZ-001	[ ]	unclaimed	agent_01	humanize_ask-gemini_1to1_20260619	01	directory	.		.	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_01/output.md	pending
ASK_GEMINI-HZ-002	[ ]	unclaimed	agent_02	humanize_ask-gemini_1to1_20260619	02	directory	agents		agents	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_02/output.md	pending
ASK_GEMINI-HZ-003	[ ]	unclaimed	agent_03	humanize_ask-gemini_1to1_20260619	03	directory	commands		commands	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_03/output.md	pending
ASK_GEMINI-HZ-004	[ ]	unclaimed	agent_04	humanize_ask-gemini_1to1_20260619	04	directory	config		config	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_04/output.md	pending
ASK_GEMINI-HZ-005	[ ]	unclaimed	agent_05	humanize_ask-gemini_1to1_20260619	05	directory	docs		docs	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_05/output.md	pending
ASK_GEMINI-HZ-006	[ ]	unclaimed	agent_06	humanize_ask-gemini_1to1_20260619	06	directory	hooks		hooks	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_06/output.md	pending
ASK_GEMINI-HZ-007	[ ]	unclaimed	agent_07	humanize_ask-gemini_1to1_20260619	07	directory	prompt-template		prompt-template	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_07/output.md	pending
ASK_GEMINI-HZ-008	[ ]	unclaimed	agent_08	humanize_ask-gemini_1to1_20260619	08	directory	scripts		scripts	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_08/output.md	pending
ASK_GEMINI-HZ-009	[ ]	unclaimed	agent_09	humanize_ask-gemini_1to1_20260619	09	directory	skills		skills	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_09/output.md	pending
ASK_GEMINI-HZ-010	[ ]	unclaimed	agent_10	humanize_ask-gemini_1to1_20260619	10	directory	templates		templates	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_10/output.md	pending
ASK_GEMINI-HZ-011	[ ]	unclaimed	agent_11	humanize_ask-gemini_1to1_20260619	11	directory	tests		tests	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_11/output.md	pending
ASK_GEMINI-HZ-012	[ ]	unclaimed	agent_12	humanize_ask-gemini_1to1_20260619	12	file	README.md		README.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_12/output.md	pending
ASK_GEMINI-HZ-013	[ ]	unclaimed	agent_13	humanize_ask-gemini_1to1_20260619	13	directory	hooks/lib		hooks/lib	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_13/output.md	pending
ASK_GEMINI-HZ-014	[ ]	unclaimed	agent_14	humanize_ask-gemini_1to1_20260619	14	directory	prompt-template/block		prompt-template/block	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_14/output.md	pending
ASK_GEMINI-HZ-015	[ ]	unclaimed	agent_15	humanize_ask-gemini_1to1_20260619	15	directory	prompt-template/claude		prompt-template/claude	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_15/output.md	pending
ASK_GEMINI-HZ-016	[ ]	unclaimed	agent_16	humanize_ask-gemini_1to1_20260619	16	directory	prompt-template/codex		prompt-template/codex	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_16/output.md	pending
ASK_GEMINI-HZ-017	[ ]	unclaimed	agent_17	humanize_ask-gemini_1to1_20260619	17	directory	prompt-template/plan		prompt-template/plan	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_17/output.md	pending
ASK_GEMINI-HZ-018	[ ]	unclaimed	agent_18	humanize_ask-gemini_1to1_20260619	18	directory	prompt-template/pr-loop		prompt-template/pr-loop	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_18/output.md	pending
ASK_GEMINI-HZ-019	[ ]	unclaimed	agent_19	humanize_ask-gemini_1to1_20260619	19	directory	scripts/lib		scripts/lib	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_19/output.md	pending
ASK_GEMINI-HZ-020	[ ]	unclaimed	agent_20	humanize_ask-gemini_1to1_20260619	20	directory	skills/ask-codex		skills/ask-codex	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_20/output.md	pending
ASK_GEMINI-HZ-021	[ ]	unclaimed	agent_21	humanize_ask-gemini_1to1_20260619	21	directory	skills/ask-gemini		skills/ask-gemini	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_21/output.md	pending
ASK_GEMINI-HZ-022	[ ]	unclaimed	agent_22	humanize_ask-gemini_1to1_20260619	22	directory	skills/humanize		skills/humanize	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_22/output.md	pending
ASK_GEMINI-HZ-023	[ ]	unclaimed	agent_23	humanize_ask-gemini_1to1_20260619	23	directory	skills/humanize-gen-plan		skills/humanize-gen-plan	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_23/output.md	pending
ASK_GEMINI-HZ-024	[ ]	unclaimed	agent_24	humanize_ask-gemini_1to1_20260619	24	directory	skills/humanize-refine-plan		skills/humanize-refine-plan	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_24/output.md	pending
