item_id	path_type	path	assigned_agent	status	master_state	output_rel	item_id_mentions	has_item_heading	bytes	sha16	depth	core_descendant_files	reason	master_evidence
ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-001	directory	.	agent_01	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_01/output.md	1	yes	1171650	-	0	123	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-002	directory	agents	agent_02	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_02/output.md	2	yes	1788	-	1	1	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-003	directory	commands	agent_03	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_03/output.md	1	yes	20921	-	1	5	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-004	directory	hooks	agent_04	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_04/output.md	1	yes	234315	-	1	11	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-005	directory	prompt-template	agent_05	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_05/output.md	1	yes	41071	-	1	52	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-006	directory	scripts	agent_06	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_06/output.md	1	yes	194605	-	1	12	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-007	directory	tests	agent_07	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_07/output.md	2	yes	672646	-	1	41	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-008	file	README.md	agent_08	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_08/output.md	1	yes	6304	3d23f9a641be9de0	0		behavior-defining documentation for workflow/state-machine algorithms	status complete; output exists; item_id present in assigned output
ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-009	directory	hooks/lib	agent_09	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_09/output.md	1	yes	56242	-	2	2	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-010	directory	prompt-template/block	agent_10	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_10/output.md	1	yes	14011	-	2	32	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-011	directory	prompt-template/claude	agent_11	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_11/output.md	1	yes	6966	-	2	8	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-012	directory	prompt-template/codex	agent_12	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_12/output.md	1	yes	10374	-	2	4	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
