agent	item_count	total_bytes	item_ids	paths
agent_01	8	2122394	ASK_GEMINI-HZ-001,ASK_GEMINI-HZ-031,ASK_GEMINI-HZ-061,ASK_GEMINI-HZ-091,ASK_GEMINI-HZ-121,ASK_GEMINI-HZ-151,ASK_GEMINI-HZ-181,ASK_GEMINI-HZ-211	.; commands/cancel-pr-loop.md; scripts/humanize.sh; tests/test-helpers.sh; tests/test-zsh-monitor-safety.sh; prompt-template/block/plan-file-modified.md; prompt-template/claude/post-alignment-action-items.md; tests/robustness/test-goal-tracker-robustness.sh
agent_02	8	126844	ASK_GEMINI-HZ-002,ASK_GEMINI-HZ-032,ASK_GEMINI-HZ-062,ASK_GEMINI-HZ-092,ASK_GEMINI-HZ-122,ASK_GEMINI-HZ-152,ASK_GEMINI-HZ-182,ASK_GEMINI-HZ-212	agents; commands/cancel-rlcr-loop.md; scripts/poll-pr-reviews.sh; tests/test-humanize-escape.sh; hooks/lib/loop-common.sh; prompt-template/block/pr-loop-prompt-write.md; prompt-template/claude/push-every-round-note.md; tests/robustness/test-hook-input-robustness.sh
agent_03	8	160470	ASK_GEMINI-HZ-003,ASK_GEMINI-HZ-033,ASK_GEMINI-HZ-063,ASK_GEMINI-HZ-093,ASK_GEMINI-HZ-123,ASK_GEMINI-HZ-153,ASK_GEMINI-HZ-183,ASK_GEMINI-HZ-213	commands; commands/gen-plan.md; scripts/portable-timeout.sh; tests/test-model-router.sh; hooks/lib/methodology-analysis.sh; prompt-template/block/pr-loop-state-modification.md; prompt-template/claude/review-phase-prompt.md; tests/robustness/test-hook-system-robustness.sh
agent_04	8	51400	ASK_GEMINI-HZ-004,ASK_GEMINI-HZ-034,ASK_GEMINI-HZ-064,ASK_GEMINI-HZ-094,ASK_GEMINI-HZ-124,ASK_GEMINI-HZ-154,ASK_GEMINI-HZ-184,ASK_GEMINI-HZ-214	config; commands/refine-plan.md; scripts/rlcr-stop-gate.sh; tests/test-monitor-e2e-deletion.sh; hooks/lib/template-loader.sh; prompt-template/block/prompt-file-write.md; prompt-template/codex/code-review-phase.md; tests/robustness/test-path-validation-robustness.sh
agent_05	8	108274	ASK_GEMINI-HZ-005,ASK_GEMINI-HZ-035,ASK_GEMINI-HZ-065,ASK_GEMINI-HZ-095,ASK_GEMINI-HZ-125,ASK_GEMINI-HZ-155,ASK_GEMINI-HZ-185,ASK_GEMINI-HZ-215	docs; commands/start-pr-loop.md; scripts/setup-pr-loop.sh; tests/test-monitor-e2e-real.sh; prompt-template/block/bitlesson-delta-empty-kb.md; prompt-template/block/round-contract-bash-write.md; prompt-template/codex/full-alignment-review.md; tests/robustness/test-plan-file-robustness.sh
agent_06	8	390465	ASK_GEMINI-HZ-006,ASK_GEMINI-HZ-036,ASK_GEMINI-HZ-066,ASK_GEMINI-HZ-096,ASK_GEMINI-HZ-126,ASK_GEMINI-HZ-156,ASK_GEMINI-HZ-186,ASK_GEMINI-HZ-216	hooks; commands/start-rlcr-loop.md; scripts/setup-rlcr-loop.sh; tests/test-monitor-e2e-sigint.sh; prompt-template/block/bitlesson-delta-inconsistent.md; prompt-template/block/round-contract-missing.md; prompt-template/codex/goal-tracker-update-section.md; tests/robustness/test-pr-loop-api-fetch.sh
agent_07	8	101174	ASK_GEMINI-HZ-007,ASK_GEMINI-HZ-037,ASK_GEMINI-HZ-067,ASK_GEMINI-HZ-097,ASK_GEMINI-HZ-127,ASK_GEMINI-HZ-157,ASK_GEMINI-HZ-187,ASK_GEMINI-HZ-217	prompt-template; config/codex-hooks.json; scripts/statusline.sh; tests/test-monitor-runtime.sh; prompt-template/block/bitlesson-delta-invalid.md; prompt-template/block/schema-outdated.md; prompt-template/codex/regular-review.md; tests/robustness/test-pr-loop-api-poll.sh
agent_08	8	431847	ASK_GEMINI-HZ-008,ASK_GEMINI-HZ-038,ASK_GEMINI-HZ-068,ASK_GEMINI-HZ-098,ASK_GEMINI-HZ-128,ASK_GEMINI-HZ-158,ASK_GEMINI-HZ-188,ASK_GEMINI-HZ-218	scripts; config/default_config.json; scripts/validate-gen-plan-io.sh; tests/test-plan-file-hooks.sh; prompt-template/block/bitlesson-delta-missing-notes.md; prompt-template/block/state-file-modification.md; prompt-template/plan/gen-plan-template.md; tests/robustness/test-pr-loop-api-robustness.sh
agent_09	8	83093	ASK_GEMINI-HZ-009,ASK_GEMINI-HZ-039,ASK_GEMINI-HZ-069,ASK_GEMINI-HZ-099,ASK_GEMINI-HZ-129,ASK_GEMINI-HZ-159,ASK_GEMINI-HZ-189,ASK_GEMINI-HZ-219	skills; docs/bitlesson.md; scripts/validate-refine-plan-io.sh; tests/test-plan-file-validation.sh; prompt-template/block/bitlesson-delta-missing.md; prompt-template/block/stop-hook-direct-execution.md; prompt-template/plan/refine-plan-qa-template.md; tests/robustness/test-session-robustness.sh
agent_10	8	71460	ASK_GEMINI-HZ-010,ASK_GEMINI-HZ-040,ASK_GEMINI-HZ-070,ASK_GEMINI-HZ-100,ASK_GEMINI-HZ-130,ASK_GEMINI-HZ-160,ASK_GEMINI-HZ-190,ASK_GEMINI-HZ-220	templates; docs/usage.md; templates/bitlesson.md; tests/test-pr-loop-1-scripts.sh; prompt-template/block/claude-eyes-timeout.md; prompt-template/block/summary-bash-write.md; prompt-template/pr-loop/codex-goal-tracker-update.md; tests/robustness/test-setup-scripts-robustness.sh
