item_id	path_type	path	included	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
TUNABLE_FULL_EXAMINE_ROUND-HZ-001	directory	.	yes	agent_01	1312351	-	0	129	directory contains included core algorithm descendant(s)
TUNABLE_FULL_EXAMINE_ROUND-SKIP-001	directory	.claude	no		0	-	1	0	directory only contains skipped non-core files
TUNABLE_FULL_EXAMINE_ROUND-SKIP-002	directory	.claude-plugin	no		0	-	1	0	directory only contains skipped non-core files
TUNABLE_FULL_EXAMINE_ROUND-SKIP-003	directory	.github	no		0	-	1	0	directory only contains skipped non-core files
TUNABLE_FULL_EXAMINE_ROUND-HZ-002	directory	agents	yes	agent_02	1788	-	1	1	directory contains included core algorithm descendant(s)
TUNABLE_FULL_EXAMINE_ROUND-HZ-003	directory	commands	yes	agent_03	21603	-	1	5	directory contains included core algorithm descendant(s)
TUNABLE_FULL_EXAMINE_ROUND-HZ-004	directory	hooks	yes	agent_04	237258	-	1	11	directory contains included core algorithm descendant(s)
TUNABLE_FULL_EXAMINE_ROUND-HZ-005	directory	prompt-template	yes	agent_05	40994	-	1	52	directory contains included core algorithm descendant(s)
TUNABLE_FULL_EXAMINE_ROUND-HZ-006	directory	scripts	yes	agent_06	201027	-	1	12	directory contains included core algorithm descendant(s)
TUNABLE_FULL_EXAMINE_ROUND-HZ-007	directory	tests	yes	agent_07	803117	-	1	47	directory contains included core algorithm descendant(s)
TUNABLE_FULL_EXAMINE_ROUND-SKIP-004	file	.gitignore	no		120	ce8146019ad5a484	0		metadata only; not algorithm behavior
TUNABLE_FULL_EXAMINE_ROUND-HZ-008	file	README.md	yes	agent_08	6564	46064102f8d21fff	0		behavior-defining documentation for workflow/state-machine algorithms
TUNABLE_FULL_EXAMINE_ROUND-SKIP-005	directory	.github/workflows	no		0	-	2	0	directory only contains skipped non-core files
TUNABLE_FULL_EXAMINE_ROUND-HZ-009	directory	hooks/lib	yes	agent_09	56806	-	2	2	directory contains included core algorithm descendant(s)
TUNABLE_FULL_EXAMINE_ROUND-HZ-010	directory	prompt-template/block	yes	agent_10	13996	-	2	32	directory contains included core algorithm descendant(s)
TUNABLE_FULL_EXAMINE_ROUND-HZ-011	directory	prompt-template/claude	yes	agent_11	6893	-	2	8	directory contains included core algorithm descendant(s)
TUNABLE_FULL_EXAMINE_ROUND-HZ-012	directory	prompt-template/codex	yes	agent_12	10385	-	2	4	directory contains included core algorithm descendant(s)
TUNABLE_FULL_EXAMINE_ROUND-HZ-013	directory	prompt-template/plan	yes	agent_13	2959	-	2	1	directory contains included core algorithm descendant(s)
TUNABLE_FULL_EXAMINE_ROUND-HZ-014	directory	prompt-template/pr-loop	yes	agent_14	6761	-	2	7	directory contains included core algorithm descendant(s)
TUNABLE_FULL_EXAMINE_ROUND-HZ-015	directory	scripts/lib	yes	agent_15	17436	-	2	1	directory contains included core algorithm descendant(s)
TUNABLE_FULL_EXAMINE_ROUND-SKIP-006	directory	tests/fixtures	no		0	-	2	0	directory only contains skipped non-core files
TUNABLE_FULL_EXAMINE_ROUND-SKIP-007	directory	tests/mocks	no		0	-	2	0	directory only contains skipped non-core files
TUNABLE_FULL_EXAMINE_ROUND-HZ-016	directory	tests/robustness	yes	agent_16	267311	-	2	17	directory contains included core algorithm descendant(s)
TUNABLE_FULL_EXAMINE_ROUND-SKIP-008	file	.claude-plugin/marketplace.json	no		425	cc5fd7dbdfbd62b2	2		plugin packaging metadata; not core algorithm runtime or specification
TUNABLE_FULL_EXAMINE_ROUND-SKIP-009	file	.claude-plugin/plugin.json	no		636	3098cffc3f9c2d92	2		plugin packaging metadata; not core algorithm runtime or specification
TUNABLE_FULL_EXAMINE_ROUND-SKIP-010	file	.claude/CLAUDE.md	no		1479	39aedaa403b617e6	2		local assistant instruction surface; not repository algorithm behavior
TUNABLE_FULL_EXAMINE_ROUND-HZ-017	file	agents/draft-relevance-checker.md	yes	agent_17	1788	98f5a6a069791828	2		agent prompt/policy file defining review or planning behavior
TUNABLE_FULL_EXAMINE_ROUND-HZ-018	file	commands/cancel-pr-loop.md	yes	agent_18	953	41a045601d93d8d6	2		command workflow definition for plan/RLCR algorithms
TUNABLE_FULL_EXAMINE_ROUND-HZ-019	file	commands/cancel-rlcr-loop.md	yes	agent_19	1914	2a8faafa5889ed98	2		command workflow definition for plan/RLCR algorithms
TUNABLE_FULL_EXAMINE_ROUND-HZ-020	file	commands/gen-plan.md	yes	agent_20	12548	ca2089d3b01c53da	2		command workflow definition for plan/RLCR algorithms
TUNABLE_FULL_EXAMINE_ROUND-HZ-021	file	commands/start-pr-loop.md	yes	agent_21	2349	f1323861df02ee34	2		command workflow definition for plan/RLCR algorithms
TUNABLE_FULL_EXAMINE_ROUND-HZ-022	file	commands/start-rlcr-loop.md	yes	agent_22	3839	fb1fbf520d96b75d	2		command workflow definition for plan/RLCR algorithms
