item_id	path_type	path	assigned_agent	status	master_state	output_rel	item_id_mentions	has_item_heading	bytes	sha16	depth	core_descendant_files	reason	master_evidence
IMPL_DCCB_LOOP-HZ-001	directory	.	agent_01	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_01/output.md	2	yes	189116	-	0	18	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
IMPL_DCCB_LOOP-HZ-002	directory	commands	agent_02	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_02/output.md	2	yes	8390	-	1	4	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
IMPL_DCCB_LOOP-HZ-003	directory	hooks	agent_03	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_03/output.md	1	yes	96795	-	1	9	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
IMPL_DCCB_LOOP-HZ-004	directory	scripts	agent_04	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_04/output.md	1	yes	67463	-	1	4	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
IMPL_DCCB_LOOP-HZ-005	file	README.md	agent_05	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_05/output.md	1	yes	16468	bed865b0f19728e8	0		behavior-defining documentation for workflow/state-machine algorithms	status complete; output exists; item_id present in assigned output
IMPL_DCCB_LOOP-HZ-006	directory	hooks/lib	agent_06	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_06/output.md	1	yes	7007	-	2	1	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
IMPL_DCCB_LOOP-HZ-007	file	commands/cancel-dccb-loop.md	agent_07	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_07/output.md	1	yes	825	2d48484def7b278e	2		command workflow definition for plan/RLCR algorithms	status complete; output exists; item_id present in assigned output
IMPL_DCCB_LOOP-HZ-008	file	commands/cancel-rlcr-loop.md	agent_08	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_08/output.md	1	yes	814	fc3f44ce4e3e196f	2		command workflow definition for plan/RLCR algorithms	status complete; output exists; item_id present in assigned output
IMPL_DCCB_LOOP-HZ-009	file	commands/start-dccb-loop.md	agent_09	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_09/output.md	1	yes	4344	86ffb03828784585	2		command workflow definition for plan/RLCR algorithms	status complete; output exists; item_id present in assigned output
IMPL_DCCB_LOOP-HZ-010	file	commands/start-rlcr-loop.md	agent_10	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_10/output.md	1	yes	2407	6b72f6f12031b84d	2		command workflow definition for plan/RLCR algorithms	status complete; output exists; item_id present in assigned output
IMPL_DCCB_LOOP-HZ-011	file	hooks/check-todos-from-transcript.py	agent_11	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_11/output.md	2	yes	4425	44d0d28cf2dab213	2		hook or validator implementation for the RLCR state machine	status complete; output exists; item_id present in assigned output
IMPL_DCCB_LOOP-HZ-012	file	hooks/hooks.json	agent_12	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_12/output.md	1	yes	1370	3fec1056a2fc568b	2		hook or validator implementation for the RLCR state machine	status complete; output exists; item_id present in assigned output
