item_id	path_type	path	assigned_agent	status	master_state	output_rel	item_id_mentions	has_item_heading	bytes	sha16	depth	core_descendant_files	reason	master_evidence
HZ-001	directory	.	agent_01	complete	[x]	research_runs/2026-06-19_humanize_core_1to1/agents/agent_01/output.md	2	yes	1710486	-	0	176	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
HZ-002	directory	agents	agent_02	complete	[x]	research_runs/2026-06-19_humanize_core_1to1/agents/agent_02/output.md	2	yes	12261	-	1	4	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
HZ-003	directory	commands	agent_03	complete	[x]	research_runs/2026-06-19_humanize_core_1to1/agents/agent_03/output.md	1	yes	81130	-	1	5	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
HZ-004	directory	config	agent_04	complete	[x]	research_runs/2026-06-19_humanize_core_1to1/agents/agent_04/output.md	1	yes	562	-	1	2	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
HZ-005	directory	docs	agent_05	complete	[x]	research_runs/2026-06-19_humanize_core_1to1/agents/agent_05/output.md	1	yes	17553	-	1	2	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
HZ-006	directory	hooks	agent_06	complete	[x]	research_runs/2026-06-19_humanize_core_1to1/agents/agent_06/output.md	1	yes	273941	-	1	14	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
HZ-007	directory	prompt-template	agent_07	complete	[x]	research_runs/2026-06-19_humanize_core_1to1/agents/agent_07/output.md	2	yes	60894	-	1	64	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
HZ-008	directory	scripts	agent_08	complete	[x]	research_runs/2026-06-19_humanize_core_1to1/agents/agent_08/output.md	1	yes	260657	-	1	18	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
HZ-009	directory	skills	agent_09	complete	[x]	research_runs/2026-06-19_humanize_core_1to1/agents/agent_09/output.md	1	yes	25778	-	1	6	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
HZ-010	directory	templates	agent_10	complete	[x]	research_runs/2026-06-19_humanize_core_1to1/agents/agent_10/output.md	1	yes	687	-	1	1	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
