item_id	path_type	path	assigned_agent	status	master_state	output_rel	item_id_mentions	has_item_heading	bytes	sha16	depth	core_descendant_files	reason	master_evidence
ADD_COMMIT_PLAN_FILE_CLI-HZ-001	directory	.	agent_01	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_01/output.md	2	yes	254954	-	0	55	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ADD_COMMIT_PLAN_FILE_CLI-HZ-002	directory	commands	agent_02	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_02/output.md	1	yes	3751	-	1	2	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ADD_COMMIT_PLAN_FILE_CLI-HZ-003	directory	hooks	agent_03	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_03/output.md	1	yes	77255	-	1	10	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ADD_COMMIT_PLAN_FILE_CLI-HZ-004	directory	prompt-template	agent_04	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_04/output.md	1	yes	21484	-	1	32	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ADD_COMMIT_PLAN_FILE_CLI-HZ-005	directory	scripts	agent_05	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_05/output.md	1	yes	45919	-	1	3	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ADD_COMMIT_PLAN_FILE_CLI-HZ-006	directory	tests	agent_06	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_06/output.md	1	yes	96907	-	1	7	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ADD_COMMIT_PLAN_FILE_CLI-HZ-007	file	README.md	agent_07	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_07/output.md	1	yes	9638	5cc2f758ca34753e	0		behavior-defining documentation for workflow/state-machine algorithms	status complete; output exists; item_id present in assigned output
ADD_COMMIT_PLAN_FILE_CLI-HZ-008	directory	hooks/lib	agent_08	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_08/output.md	1	yes	14378	-	2	2	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ADD_COMMIT_PLAN_FILE_CLI-HZ-009	directory	prompt-template/block	agent_09	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_09/output.md	2	yes	9624	-	2	24	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ADD_COMMIT_PLAN_FILE_CLI-HZ-010	directory	prompt-template/claude	agent_10	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_10/output.md	2	yes	2735	-	2	5	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ADD_COMMIT_PLAN_FILE_CLI-HZ-011	directory	prompt-template/codex	agent_11	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_11/output.md	2	yes	9125	-	2	3	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ADD_COMMIT_PLAN_FILE_CLI-HZ-012	file	commands/cancel-rlcr-loop.md	agent_12	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_12/output.md	1	yes	1341	400fc8d29c4144ea	2		command workflow definition for plan/RLCR algorithms	status complete; output exists; item_id present in assigned output
