item_id	path_type	path	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
VCS_CLI_ON_PLAN_FILE-HZ-001	directory	.	agent_01	261423	-	0	60	directory contains included core algorithm descendant(s)
VCS_CLI_ON_PLAN_FILE-HZ-002	directory	commands	agent_02	3402	-	1	2	directory contains included core algorithm descendant(s)
VCS_CLI_ON_PLAN_FILE-HZ-003	directory	hooks	agent_03	90100	-	1	10	directory contains included core algorithm descendant(s)
VCS_CLI_ON_PLAN_FILE-HZ-004	directory	prompt-template	agent_04	27875	-	1	39	directory contains included core algorithm descendant(s)
VCS_CLI_ON_PLAN_FILE-HZ-005	directory	scripts	agent_05	43868	-	1	3	directory contains included core algorithm descendant(s)
VCS_CLI_ON_PLAN_FILE-HZ-006	directory	tests	agent_06	84444	-	1	5	directory contains included core algorithm descendant(s)
VCS_CLI_ON_PLAN_FILE-HZ-007	file	README.md	agent_07	11734	a2c791956a6fbf6d	0		behavior-defining documentation for workflow/state-machine algorithms
VCS_CLI_ON_PLAN_FILE-HZ-008	directory	hooks/lib	agent_08	18816	-	2	2	directory contains included core algorithm descendant(s)
VCS_CLI_ON_PLAN_FILE-HZ-009	directory	prompt-template/block	agent_09	16015	-	2	31	directory contains included core algorithm descendant(s)
VCS_CLI_ON_PLAN_FILE-HZ-010	directory	prompt-template/claude	agent_10	2735	-	2	5	directory contains included core algorithm descendant(s)
VCS_CLI_ON_PLAN_FILE-HZ-011	directory	prompt-template/codex	agent_11	9125	-	2	3	directory contains included core algorithm descendant(s)
VCS_CLI_ON_PLAN_FILE-HZ-012	file	commands/cancel-rlcr-loop.md	agent_12	995	ce9e856fe4f4d195	2		command workflow definition for plan/RLCR algorithms
VCS_CLI_ON_PLAN_FILE-HZ-013	file	commands/start-rlcr-loop.md	agent_13	2407	2878e20e74f3b2af	2		command workflow definition for plan/RLCR algorithms
VCS_CLI_ON_PLAN_FILE-HZ-014	file	hooks/check-todos-from-transcript.py	agent_14	4425	44d0d28cf2dab213	2		hook or validator implementation for the RLCR state machine
