item_id	path_type	path	assigned_agent	status	master_state	output_rel	item_id_mentions	has_item_heading	bytes	sha16	depth	core_descendant_files	reason	master_evidence
OH_MY_HUMANIZE_MAIN-HZ-001	directory	.	agent_01	complete	[x]	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_01/output.md	1	yes	35039469	-	0	3336	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
OH_MY_HUMANIZE_MAIN-HZ-002	directory	crates	agent_02	complete	[x]	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_02/output.md	1	yes	1813855	-	1	84	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
OH_MY_HUMANIZE_MAIN-HZ-003	directory	docs	agent_03	complete	[x]	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_03/output.md	2	yes	1018467	-	1	72	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
OH_MY_HUMANIZE_MAIN-HZ-004	directory	infra	agent_04	complete	[x]	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_04/output.md	1	yes	13381	-	1	2	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
OH_MY_HUMANIZE_MAIN-HZ-005	directory	packages	agent_05	complete	[x]	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_05/output.md	1	yes	30127617	-	1	3030	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
OH_MY_HUMANIZE_MAIN-HZ-006	directory	python	agent_06	complete	[x]	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_06/output.md	2	yes	1268054	-	1	84	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
OH_MY_HUMANIZE_MAIN-HZ-007	directory	scripts	agent_07	complete	[x]	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_07/output.md	1	yes	715192	-	1	53	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
OH_MY_HUMANIZE_MAIN-HZ-008	file	.fallowrc.jsonc	agent_08	complete	[x]	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_08/output.md	1	yes	1212	0ed3f44dd11648d8	0		workspace configuration participating in build/runtime/tooling algorithms	status complete; output exists; item_id present in assigned output
OH_MY_HUMANIZE_MAIN-HZ-009	file	AGENTS.md	agent_09	complete	[x]	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_09/output.md	1	yes	17007	01533a2dd6ad8422	0		behavior-defining documentation for workflow/state-machine algorithms	status complete; output exists; item_id present in assigned output
OH_MY_HUMANIZE_MAIN-HZ-010	file	Cargo.toml	agent_10	complete	[x]	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_10/output.md	2	yes	24798	4f36fff3fedb8285	0		workspace configuration participating in build/runtime/tooling algorithms	status complete; output exists; item_id present in assigned output
OH_MY_HUMANIZE_MAIN-HZ-011	file	README.md	agent_11	complete	[x]	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_11/output.md	1	yes	35217	5c6734625fd75a36	0		behavior-defining documentation for workflow/state-machine algorithms	status complete; output exists; item_id present in assigned output
OH_MY_HUMANIZE_MAIN-HZ-012	file	biome.json	agent_12	complete	[x]	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_12/output.md	1	yes	1442	5777849c4a6fc966	0		workspace configuration participating in build/runtime/tooling algorithms	status complete; output exists; item_id present in assigned output
OH_MY_HUMANIZE_MAIN-HZ-013	file	bunfig.toml	agent_13	complete	[x]	research_runs/2026-06-19_oh_my_humanize_branch_1to1/agents/agent_13/output.md	2	yes	617	bc01ce882599f631	0		workspace configuration participating in build/runtime/tooling algorithms	status complete; output exists; item_id present in assigned output
