item_id	path_type	path	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
FIX_HUMANIZE_ESCAPE-HZ-001	directory	.	agent_01	485878	-	0	71	directory contains included core algorithm descendant(s)
FIX_HUMANIZE_ESCAPE-HZ-002	directory	commands	agent_02	5465	-	1	2	directory contains included core algorithm descendant(s)
FIX_HUMANIZE_ESCAPE-HZ-003	directory	hooks	agent_03	116570	-	1	10	directory contains included core algorithm descendant(s)
FIX_HUMANIZE_ESCAPE-HZ-004	directory	prompt-template	agent_04	24525	-	1	36	directory contains included core algorithm descendant(s)
FIX_HUMANIZE_ESCAPE-HZ-005	directory	scripts	agent_05	62582	-	1	3	directory contains included core algorithm descendant(s)
FIX_HUMANIZE_ESCAPE-HZ-006	directory	tests	agent_06	273404	-	1	19	directory contains included core algorithm descendant(s)
FIX_HUMANIZE_ESCAPE-HZ-007	file	README.md	agent_07	3332	2f0cf5b20cc9bd4a	0		behavior-defining documentation for workflow/state-machine algorithms
FIX_HUMANIZE_ESCAPE-HZ-008	directory	hooks/lib	agent_08	31331	-	2	2	directory contains included core algorithm descendant(s)
FIX_HUMANIZE_ESCAPE-HZ-009	directory	prompt-template/block	agent_09	11039	-	2	27	directory contains included core algorithm descendant(s)
FIX_HUMANIZE_ESCAPE-HZ-010	directory	prompt-template/claude	agent_10	4385	-	2	6	directory contains included core algorithm descendant(s)
FIX_HUMANIZE_ESCAPE-HZ-011	directory	prompt-template/codex	agent_11	9101	-	2	3	directory contains included core algorithm descendant(s)
FIX_HUMANIZE_ESCAPE-HZ-012	file	commands/cancel-rlcr-loop.md	agent_12	3055	d8188ad221a2e198	2		command workflow definition for plan/RLCR algorithms
FIX_HUMANIZE_ESCAPE-HZ-013	file	commands/start-rlcr-loop.md	agent_13	2410	005ee49d60ac9f36	2		command workflow definition for plan/RLCR algorithms
FIX_HUMANIZE_ESCAPE-HZ-014	file	hooks/check-todos-from-transcript.py	agent_14	4496	ec13bdb525fa510b	2		hook or validator implementation for the RLCR state machine
FIX_HUMANIZE_ESCAPE-HZ-015	file	hooks/hooks.json	agent_15	1402	acdbc9966d325548	2		hook or validator implementation for the RLCR state machine
FIX_HUMANIZE_ESCAPE-HZ-016	file	hooks/loop-bash-validator.sh	agent_16	13540	cf2bae28cf4d6de5	2		hook or validator implementation for the RLCR state machine
FIX_HUMANIZE_ESCAPE-HZ-017	file	hooks/loop-codex-stop-hook.sh	agent_17	40784	809e94efdbdbbff3	2		hook or validator implementation for the RLCR state machine
FIX_HUMANIZE_ESCAPE-HZ-018	file	hooks/loop-edit-validator.sh	agent_18	4887	393df68fe4a6ade2	2		hook or validator implementation for the RLCR state machine
FIX_HUMANIZE_ESCAPE-HZ-019	file	hooks/loop-plan-file-validator.sh	agent_19	7830	ed732c606434bff6	2		hook or validator implementation for the RLCR state machine
FIX_HUMANIZE_ESCAPE-HZ-020	file	hooks/loop-read-validator.sh	agent_20	4633	9209a1d32a2543dc	2		hook or validator implementation for the RLCR state machine
FIX_HUMANIZE_ESCAPE-HZ-021	file	hooks/loop-write-validator.sh	agent_21	7667	a8d78371cdfac0b9	2		hook or validator implementation for the RLCR state machine
FIX_HUMANIZE_ESCAPE-HZ-022	file	scripts/humanize.sh	agent_22	35827	3b89fcff1d1350bf	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
FIX_HUMANIZE_ESCAPE-HZ-023	file	scripts/portable-timeout.sh	agent_23	2116	0e35de1118d19699	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
FIX_HUMANIZE_ESCAPE-HZ-024	file	scripts/setup-rlcr-loop.sh	agent_24	24639	fbb50664e29713a1	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
FIX_HUMANIZE_ESCAPE-HZ-025	file	tests/manual-monitor-test.sh	agent_25	2573	6f254fca4dfab34a	2		executable specification for core algorithm behavior
FIX_HUMANIZE_ESCAPE-HZ-026	file	tests/run-all-tests.sh	agent_26	3665	1fc57ea432c7cb5e	2		executable specification for core algorithm behavior
FIX_HUMANIZE_ESCAPE-HZ-027	file	tests/test-allowlist-validators.sh	agent_27	14573	96c979129fa57121	2		executable specification for core algorithm behavior
FIX_HUMANIZE_ESCAPE-HZ-028	file	tests/test-ansi-parsing.sh	agent_28	5801	1ce1261d36446df1	2		executable specification for core algorithm behavior
FIX_HUMANIZE_ESCAPE-HZ-029	file	tests/test-bash-validator-patterns.sh	agent_29	6658	8a01aab8994ab5f7	2		executable specification for core algorithm behavior
FIX_HUMANIZE_ESCAPE-HZ-030	file	tests/test-cancel-signal-file.sh	agent_30	41224	bf3d0fd3da678b05	2		executable specification for core algorithm behavior
FIX_HUMANIZE_ESCAPE-HZ-031	file	tests/test-error-scenarios.sh	agent_01	7691	a3d02e87805da569	2		executable specification for core algorithm behavior
