item_id	path_type	path	assigned_agent	status	master_state	output_rel	item_id_mentions	has_item_heading	bytes	sha16	depth	core_descendant_files	reason	master_evidence
SKILLIZE_RLCR_ACTIONS-HZ-001	directory	.	agent_01	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_01/output.md	1	yes	543959	-	0	76	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
SKILLIZE_RLCR_ACTIONS-HZ-002	directory	commands	agent_02	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_02/output.md	1	yes	977	-	1	2	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
SKILLIZE_RLCR_ACTIONS-HZ-003	directory	hooks	agent_03	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_03/output.md	2	yes	116570	-	1	10	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
SKILLIZE_RLCR_ACTIONS-HZ-004	directory	prompt-template	agent_04	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_04/output.md	1	yes	24525	-	1	36	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
SKILLIZE_RLCR_ACTIONS-HZ-005	directory	scripts	agent_05	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_05/output.md	1	yes	62582	-	1	3	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
SKILLIZE_RLCR_ACTIONS-HZ-006	directory	skills	agent_06	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_06/output.md	1	yes	5673	-	1	2	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
SKILLIZE_RLCR_ACTIONS-HZ-007	directory	tests	agent_07	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_07/output.md	2	yes	330300	-	1	22	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
SKILLIZE_RLCR_ACTIONS-HZ-008	file	README.md	agent_08	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_08/output.md	1	yes	3332	9ea63752d4a95b3e	0		behavior-defining documentation for workflow/state-machine algorithms	status complete; output exists; item_id present in assigned output
SKILLIZE_RLCR_ACTIONS-HZ-009	directory	hooks/lib	agent_09	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_09/output.md	1	yes	31331	-	2	2	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
SKILLIZE_RLCR_ACTIONS-HZ-010	directory	prompt-template/block	agent_10	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_10/output.md	2	yes	11039	-	2	27	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
SKILLIZE_RLCR_ACTIONS-HZ-011	directory	prompt-template/claude	agent_11	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_11/output.md	2	yes	4385	-	2	6	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
SKILLIZE_RLCR_ACTIONS-HZ-012	directory	prompt-template/codex	agent_12	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_12/output.md	1	yes	9101	-	2	3	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
