item_id	path_type	path	assigned_agent	status	master_state	output_rel	item_id_mentions	has_item_heading	bytes	sha16	depth	core_descendant_files	reason	master_evidence
ASK_GEMINI-HZ-001	directory	.	agent_01	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_01/output.md	2	yes	2020205	-	0	200	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ASK_GEMINI-HZ-002	directory	agents	agent_02	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_02/output.md	1	yes	12261	-	1	4	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ASK_GEMINI-HZ-003	directory	commands	agent_03	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_03/output.md	1	yes	71991	-	1	6	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ASK_GEMINI-HZ-004	directory	config	agent_04	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_04/output.md	1	yes	786	-	1	2	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ASK_GEMINI-HZ-005	directory	docs	agent_05	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_05/output.md	1	yes	18469	-	1	2	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ASK_GEMINI-HZ-006	directory	hooks	agent_06	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_06/output.md	1	yes	318772	-	1	13	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ASK_GEMINI-HZ-007	directory	prompt-template	agent_07	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_07/output.md	1	yes	67951	-	1	72	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ASK_GEMINI-HZ-008	directory	scripts	agent_08	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_08/output.md	2	yes	353611	-	1	23	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ASK_GEMINI-HZ-009	directory	skills	agent_09	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_09/output.md	1	yes	27223	-	1	6	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ASK_GEMINI-HZ-010	directory	templates	agent_10	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_10/output.md	2	yes	687	-	1	1	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ASK_GEMINI-HZ-011	directory	tests	agent_11	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_11/output.md	1	yes	1144854	-	1	70	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ASK_GEMINI-HZ-012	file	README.md	agent_12	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_12/output.md	1	yes	3600	bd9bacdad182a1ed	0		behavior-defining documentation for workflow/state-machine algorithms	status complete; output exists; item_id present in assigned output
ASK_GEMINI-HZ-013	directory	hooks/lib	agent_13	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_13/output.md	2	yes	82792	-	2	3	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ASK_GEMINI-HZ-014	directory	prompt-template/block	agent_14	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_14/output.md	1	yes	17764	-	2	45	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ASK_GEMINI-HZ-015	directory	prompt-template/claude	agent_15	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_15/output.md	1	yes	22928	-	2	14	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ASK_GEMINI-HZ-016	directory	prompt-template/codex	agent_16	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_16/output.md	2	yes	12232	-	2	4	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ASK_GEMINI-HZ-017	directory	prompt-template/plan	agent_17	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_17/output.md	1	yes	8266	-	2	2	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ASK_GEMINI-HZ-018	directory	prompt-template/pr-loop	agent_18	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_18/output.md	2	yes	6761	-	2	7	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
