item_id	path_type	path	assigned_agent	status	master_state	output_rel	item_id_mentions	has_item_heading	bytes	sha16	depth	core_descendant_files	reason	master_evidence
TEMPLIFY_PROMPT-HZ-001	directory	.	agent_01	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_01/output.md	2	yes	184843	-	0	48	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
TEMPLIFY_PROMPT-HZ-002	directory	commands	agent_02	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_02/output.md	1	yes	3196	-	1	2	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
TEMPLIFY_PROMPT-HZ-003	directory	hooks	agent_03	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_03/output.md	1	yes	64374	-	1	9	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
TEMPLIFY_PROMPT-HZ-004	directory	prompt-template	agent_04	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_04/output.md	2	yes	20448	-	1	29	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
TEMPLIFY_PROMPT-HZ-005	directory	scripts	agent_05	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_05/output.md	1	yes	39112	-	1	3	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
TEMPLIFY_PROMPT-HZ-006	directory	tests	agent_06	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_06/output.md	1	yes	48790	-	1	4	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
TEMPLIFY_PROMPT-HZ-007	file	README.md	agent_07	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_07/output.md	2	yes	8923	87fe963f84fad317	0		behavior-defining documentation for workflow/state-machine algorithms	status complete; output exists; item_id present in assigned output
TEMPLIFY_PROMPT-HZ-008	directory	hooks/lib	agent_08	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_08/output.md	1	yes	12985	-	2	2	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
TEMPLIFY_PROMPT-HZ-009	directory	prompt-template/block	agent_09	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_09/output.md	1	yes	8588	-	2	21	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
TEMPLIFY_PROMPT-HZ-010	directory	prompt-template/claude	agent_10	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_10/output.md	2	yes	2735	-	2	5	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
TEMPLIFY_PROMPT-HZ-011	directory	prompt-template/codex	agent_11	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_11/output.md	2	yes	9125	-	2	3	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
TEMPLIFY_PROMPT-HZ-012	file	commands/cancel-rlcr-loop.md	agent_12	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_12/output.md	1	yes	789	9766a3ab1bef36ad	2		command workflow definition for plan/RLCR algorithms	status complete; output exists; item_id present in assigned output
TEMPLIFY_PROMPT-HZ-013	file	commands/start-rlcr-loop.md	agent_13	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_13/output.md	2	yes	2407	2878e20e74f3b2af	2		command workflow definition for plan/RLCR algorithms	status complete; output exists; item_id present in assigned output
TEMPLIFY_PROMPT-HZ-014	file	hooks/check-todos-from-transcript.py	agent_14	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_14/output.md	1	yes	4425	44d0d28cf2dab213	2		hook or validator implementation for the RLCR state machine	status complete; output exists; item_id present in assigned output
TEMPLIFY_PROMPT-HZ-015	file	hooks/hooks.json	agent_15	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_15/output.md	1	yes	1188	352e0ff02f86be76	2		hook or validator implementation for the RLCR state machine	status complete; output exists; item_id present in assigned output
TEMPLIFY_PROMPT-HZ-016	file	hooks/loop-bash-validator.sh	agent_16	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_16/output.md	1	yes	3981	d6cbc4d618bf6d63	2		hook or validator implementation for the RLCR state machine	status complete; output exists; item_id present in assigned output
