item_id	path_type	path	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
MAKE_WORKING_FOLDER_TO_HUMANIZE_ONLY-HZ-001	directory	.	agent_01	258471	-	0	55	directory contains included core algorithm descendant(s)
MAKE_WORKING_FOLDER_TO_HUMANIZE_ONLY-HZ-002	directory	commands	agent_02	3721	-	1	2	directory contains included core algorithm descendant(s)
MAKE_WORKING_FOLDER_TO_HUMANIZE_ONLY-HZ-003	directory	hooks	agent_03	77140	-	1	10	directory contains included core algorithm descendant(s)
MAKE_WORKING_FOLDER_TO_HUMANIZE_ONLY-HZ-004	directory	prompt-template	agent_04	21442	-	1	32	directory contains included core algorithm descendant(s)
MAKE_WORKING_FOLDER_TO_HUMANIZE_ONLY-HZ-005	directory	scripts	agent_05	45865	-	1	3	directory contains included core algorithm descendant(s)
MAKE_WORKING_FOLDER_TO_HUMANIZE_ONLY-HZ-006	directory	tests	agent_06	100707	-	1	7	directory contains included core algorithm descendant(s)
MAKE_WORKING_FOLDER_TO_HUMANIZE_ONLY-HZ-007	file	README.md	agent_07	9596	fcc3e368bf436b87	0		behavior-defining documentation for workflow/state-machine algorithms
MAKE_WORKING_FOLDER_TO_HUMANIZE_ONLY-HZ-008	directory	hooks/lib	agent_08	14365	-	2	2	directory contains included core algorithm descendant(s)
MAKE_WORKING_FOLDER_TO_HUMANIZE_ONLY-HZ-009	directory	prompt-template/block	agent_09	9606	-	2	24	directory contains included core algorithm descendant(s)
MAKE_WORKING_FOLDER_TO_HUMANIZE_ONLY-HZ-010	directory	prompt-template/claude	agent_10	2735	-	2	5	directory contains included core algorithm descendant(s)
MAKE_WORKING_FOLDER_TO_HUMANIZE_ONLY-HZ-011	directory	prompt-template/codex	agent_11	9101	-	2	3	directory contains included core algorithm descendant(s)
MAKE_WORKING_FOLDER_TO_HUMANIZE_ONLY-HZ-012	file	commands/cancel-rlcr-loop.md	agent_12	1311	9d2695eba56eab1b	2		command workflow definition for plan/RLCR algorithms
MAKE_WORKING_FOLDER_TO_HUMANIZE_ONLY-HZ-013	file	commands/start-rlcr-loop.md	agent_13	2410	005ee49d60ac9f36	2		command workflow definition for plan/RLCR algorithms
MAKE_WORKING_FOLDER_TO_HUMANIZE_ONLY-HZ-014	file	hooks/check-todos-from-transcript.py	agent_14	4425	44d0d28cf2dab213	2		hook or validator implementation for the RLCR state machine
MAKE_WORKING_FOLDER_TO_HUMANIZE_ONLY-HZ-015	file	hooks/hooks.json	agent_15	1402	acdbc9966d325548	2		hook or validator implementation for the RLCR state machine
MAKE_WORKING_FOLDER_TO_HUMANIZE_ONLY-HZ-016	file	hooks/loop-bash-validator.sh	agent_16	4533	431a017860eadeca	2		hook or validator implementation for the RLCR state machine
MAKE_WORKING_FOLDER_TO_HUMANIZE_ONLY-HZ-017	file	hooks/loop-codex-stop-hook.sh	agent_17	33709	6cbd42ac4ae2949e	2		hook or validator implementation for the RLCR state machine
MAKE_WORKING_FOLDER_TO_HUMANIZE_ONLY-HZ-018	file	hooks/loop-edit-validator.sh	agent_18	4003	365bbb6e2353c634	2		hook or validator implementation for the RLCR state machine
MAKE_WORKING_FOLDER_TO_HUMANIZE_ONLY-HZ-019	file	hooks/loop-plan-file-validator.sh	agent_19	4806	a54ae8273caebe1a	2		hook or validator implementation for the RLCR state machine
MAKE_WORKING_FOLDER_TO_HUMANIZE_ONLY-HZ-020	file	hooks/loop-read-validator.sh	agent_20	3993	b2af6907a6222084	2		hook or validator implementation for the RLCR state machine
MAKE_WORKING_FOLDER_TO_HUMANIZE_ONLY-HZ-021	file	hooks/loop-write-validator.sh	agent_21	5904	af386203f1c83288	2		hook or validator implementation for the RLCR state machine
MAKE_WORKING_FOLDER_TO_HUMANIZE_ONLY-HZ-022	file	scripts/humanize.sh	agent_22	22518	674894687c7de0ad	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
MAKE_WORKING_FOLDER_TO_HUMANIZE_ONLY-HZ-023	file	scripts/portable-timeout.sh	agent_23	2116	0e35de1118d19699	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
MAKE_WORKING_FOLDER_TO_HUMANIZE_ONLY-HZ-024	file	scripts/setup-rlcr-loop.sh	agent_24	21231	e5cb505f1c61b16b	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
