agent	item_count	total_bytes	item_ids	paths
agent_01	5	1293235	ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-001,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-031,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-061,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-091,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-121	.; hooks/pr-loop-stop-hook.sh; tests/test-pr-loop-hooks.sh; prompt-template/block/plan-backup-protected.md; prompt-template/pr-loop/critical-requirements-has-comments.md
agent_02	5	10494	ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-002,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-032,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-062,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-092,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-122	agents; scripts/cancel-pr-loop.sh; tests/test-pr-loop-lib.sh; prompt-template/block/plan-file-modified.md; prompt-template/pr-loop/critical-requirements-no-comments.md
agent_03	5	38725	ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-003,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-033,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-063,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-093,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-123	commands; scripts/cancel-rlcr-loop.sh; tests/test-pr-loop-scripts.sh; prompt-template/block/pr-loop-prompt-write.md; prompt-template/pr-loop/goal-tracker-initial.md
agent_04	5	301947	ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-004,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-034,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-064,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-094,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-124	hooks; scripts/check-bot-reactions.sh; tests/test-pr-loop-stophook.sh; prompt-template/block/pr-loop-state-modification.md; prompt-template/pr-loop/round-0-header.md
agent_05	5	119313	ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-005,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-035,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-065,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-095,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-125	prompt-template; scripts/check-pr-reviewer-status.sh; tests/test-pr-loop-system.sh; prompt-template/block/prompt-file-write.md; prompt-template/pr-loop/round-0-task-has-comments.md
agent_06	5	211870	ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-006,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-036,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-066,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-096,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-126	scripts; scripts/fetch-pr-comments.sh; tests/test-pr-loop.sh; prompt-template/block/schema-outdated.md; prompt-template/pr-loop/round-0-task-no-comments.md
agent_07	5	754718	ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-007,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-037,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-067,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-097,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-127	tests; scripts/humanize.sh; tests/test-state-exit-naming.sh; prompt-template/block/state-file-modification.md; scripts/lib/monitor-common.sh
agent_08	5	43620	ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-008,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-038,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-068,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-098,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-128	README.md; scripts/poll-pr-reviews.sh; tests/test-template-loader.sh; prompt-template/block/summary-bash-write.md; tests/robustness/test-base-branch-detection.sh
agent_09	5	80444	ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-009,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-039,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-069,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-099,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-129	hooks/lib; scripts/portable-timeout.sh; tests/test-template-references.sh; prompt-template/block/todos-file-access.md; tests/robustness/test-cancel-security-robustness.sh
agent_10	5	78161	ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-010,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-040,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-070,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-100,ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-130	prompt-template/block; scripts/setup-pr-loop.sh; tests/test-templates-comprehensive.sh; prompt-template/block/unpushed-commits.md; tests/robustness/test-git-operations-robustness.sh
