agent	item_count	total_bytes	item_ids	paths
agent_01	5	1457910	TODO2TASK_CAREFUL_MODE-HZ-001,TODO2TASK_CAREFUL_MODE-HZ-031,TODO2TASK_CAREFUL_MODE-HZ-061,TODO2TASK_CAREFUL_MODE-HZ-091,TODO2TASK_CAREFUL_MODE-HZ-121	.; hooks/pr-loop-stop-hook.sh; tests/test-pr-loop-hooks.sh; prompt-template/block/plan-backup-protected.md; prompt-template/pr-loop/codex-goal-tracker-update.md
agent_02	5	10394	TODO2TASK_CAREFUL_MODE-HZ-002,TODO2TASK_CAREFUL_MODE-HZ-032,TODO2TASK_CAREFUL_MODE-HZ-062,TODO2TASK_CAREFUL_MODE-HZ-092,TODO2TASK_CAREFUL_MODE-HZ-122	agents; scripts/cancel-pr-loop.sh; tests/test-pr-loop-lib.sh; prompt-template/block/plan-file-modified.md; prompt-template/pr-loop/critical-requirements-has-comments.md
agent_03	5	39290	TODO2TASK_CAREFUL_MODE-HZ-003,TODO2TASK_CAREFUL_MODE-HZ-033,TODO2TASK_CAREFUL_MODE-HZ-063,TODO2TASK_CAREFUL_MODE-HZ-093,TODO2TASK_CAREFUL_MODE-HZ-123	commands; scripts/cancel-rlcr-loop.sh; tests/test-pr-loop-scripts.sh; prompt-template/block/pr-loop-prompt-write.md; prompt-template/pr-loop/critical-requirements-no-comments.md
agent_04	5	310755	TODO2TASK_CAREFUL_MODE-HZ-004,TODO2TASK_CAREFUL_MODE-HZ-034,TODO2TASK_CAREFUL_MODE-HZ-064,TODO2TASK_CAREFUL_MODE-HZ-094,TODO2TASK_CAREFUL_MODE-HZ-124	hooks; scripts/check-bot-reactions.sh; tests/test-pr-loop-stophook.sh; prompt-template/block/pr-loop-state-modification.md; prompt-template/pr-loop/goal-tracker-initial.md
agent_05	5	118881	TODO2TASK_CAREFUL_MODE-HZ-005,TODO2TASK_CAREFUL_MODE-HZ-035,TODO2TASK_CAREFUL_MODE-HZ-065,TODO2TASK_CAREFUL_MODE-HZ-095,TODO2TASK_CAREFUL_MODE-HZ-125	prompt-template; scripts/check-pr-reviewer-status.sh; tests/test-pr-loop-system.sh; prompt-template/block/prompt-file-write.md; prompt-template/pr-loop/round-0-header.md
agent_06	5	224567	TODO2TASK_CAREFUL_MODE-HZ-006,TODO2TASK_CAREFUL_MODE-HZ-036,TODO2TASK_CAREFUL_MODE-HZ-066,TODO2TASK_CAREFUL_MODE-HZ-096,TODO2TASK_CAREFUL_MODE-HZ-126	scripts; scripts/fetch-pr-comments.sh; tests/test-pr-loop.sh; prompt-template/block/schema-outdated.md; prompt-template/pr-loop/round-0-task-has-comments.md
agent_07	5	877914	TODO2TASK_CAREFUL_MODE-HZ-007,TODO2TASK_CAREFUL_MODE-HZ-037,TODO2TASK_CAREFUL_MODE-HZ-067,TODO2TASK_CAREFUL_MODE-HZ-097,TODO2TASK_CAREFUL_MODE-HZ-127	tests; scripts/humanize.sh; tests/test-state-exit-naming.sh; prompt-template/block/state-file-modification.md; prompt-template/pr-loop/round-0-task-no-comments.md
agent_08	5	56825	TODO2TASK_CAREFUL_MODE-HZ-008,TODO2TASK_CAREFUL_MODE-HZ-038,TODO2TASK_CAREFUL_MODE-HZ-068,TODO2TASK_CAREFUL_MODE-HZ-098,TODO2TASK_CAREFUL_MODE-HZ-128	README.md; scripts/poll-pr-reviews.sh; tests/test-template-loader.sh; prompt-template/block/summary-bash-write.md; scripts/lib/monitor-common.sh
agent_09	5	72940	TODO2TASK_CAREFUL_MODE-HZ-009,TODO2TASK_CAREFUL_MODE-HZ-039,TODO2TASK_CAREFUL_MODE-HZ-069,TODO2TASK_CAREFUL_MODE-HZ-099,TODO2TASK_CAREFUL_MODE-HZ-129	hooks/lib; scripts/portable-timeout.sh; tests/test-template-references.sh; prompt-template/block/todos-file-access.md; tests/robustness/test-base-branch-detection.sh
agent_10	5	83625	TODO2TASK_CAREFUL_MODE-HZ-010,TODO2TASK_CAREFUL_MODE-HZ-040,TODO2TASK_CAREFUL_MODE-HZ-070,TODO2TASK_CAREFUL_MODE-HZ-100,TODO2TASK_CAREFUL_MODE-HZ-130	prompt-template/block; scripts/setup-pr-loop.sh; tests/test-templates-comprehensive.sh; prompt-template/block/unpushed-commits.md; tests/robustness/test-cancel-security-robustness.sh
agent_11	5	78764	TODO2TASK_CAREFUL_MODE-HZ-011,TODO2TASK_CAREFUL_MODE-HZ-041,TODO2TASK_CAREFUL_MODE-HZ-071,TODO2TASK_CAREFUL_MODE-HZ-101,TODO2TASK_CAREFUL_MODE-HZ-131	prompt-template/claude; scripts/setup-rlcr-loop.sh; tests/test-todo-checker.sh; prompt-template/block/work-summary-missing.md; tests/robustness/test-concurrent-state-robustness.sh
agent_12	5	40291	TODO2TASK_CAREFUL_MODE-HZ-012,TODO2TASK_CAREFUL_MODE-HZ-042,TODO2TASK_CAREFUL_MODE-HZ-072,TODO2TASK_CAREFUL_MODE-HZ-102,TODO2TASK_CAREFUL_MODE-HZ-132	prompt-template/codex; scripts/validate-gen-plan-io.sh; tests/test-zsh-monitor-safety.sh; prompt-template/block/wrong-directory-path.md; tests/robustness/test-git-operations-robustness.sh
