item_id	path_type	path	assigned_agent	status	master_state	output_rel	item_id_mentions	has_item_heading	bytes	sha16	depth	core_descendant_files	reason	master_evidence
GENERAL_REFACTOR_AND_REVIEW-HZ-001	directory	.	agent_01	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_01/output.md	1	yes	337180	-	0	61	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
GENERAL_REFACTOR_AND_REVIEW-HZ-002	directory	commands	agent_02	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_02/output.md	2	yes	3721	-	1	2	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
GENERAL_REFACTOR_AND_REVIEW-HZ-003	directory	hooks	agent_03	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_03/output.md	2	yes	90245	-	1	10	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
GENERAL_REFACTOR_AND_REVIEW-HZ-004	directory	prompt-template	agent_04	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_04/output.md	1	yes	21768	-	1	33	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
GENERAL_REFACTOR_AND_REVIEW-HZ-005	directory	scripts	agent_05	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_05/output.md	1	yes	49273	-	1	3	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
GENERAL_REFACTOR_AND_REVIEW-HZ-006	directory	tests	agent_06	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_06/output.md	2	yes	162577	-	1	12	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
GENERAL_REFACTOR_AND_REVIEW-HZ-007	file	README.md	agent_07	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_07/output.md	1	yes	9596	5bc90d492ef2b14f	0		behavior-defining documentation for workflow/state-machine algorithms	status complete; output exists; item_id present in assigned output
GENERAL_REFACTOR_AND_REVIEW-HZ-008	directory	hooks/lib	agent_08	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_08/output.md	2	yes	19425	-	2	2	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
GENERAL_REFACTOR_AND_REVIEW-HZ-009	directory	prompt-template/block	agent_09	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_09/output.md	1	yes	9932	-	2	25	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
GENERAL_REFACTOR_AND_REVIEW-HZ-010	directory	prompt-template/claude	agent_10	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_10/output.md	1	yes	2735	-	2	5	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
GENERAL_REFACTOR_AND_REVIEW-HZ-011	directory	prompt-template/codex	agent_11	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_11/output.md	2	yes	9101	-	2	3	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
