agent	item_count	total_bytes	item_ids	paths
agent_001	1	1312351	TUNABLE_FULL_EXAMINE_ROUND-HZ-001	.
agent_002	1	1788	TUNABLE_FULL_EXAMINE_ROUND-HZ-002	agents
agent_003	1	21603	TUNABLE_FULL_EXAMINE_ROUND-HZ-003	commands
agent_004	1	237258	TUNABLE_FULL_EXAMINE_ROUND-HZ-004	hooks
agent_005	1	40994	TUNABLE_FULL_EXAMINE_ROUND-HZ-005	prompt-template
agent_006	1	201027	TUNABLE_FULL_EXAMINE_ROUND-HZ-006	scripts
agent_007	1	803117	TUNABLE_FULL_EXAMINE_ROUND-HZ-007	tests
agent_008	1	6564	TUNABLE_FULL_EXAMINE_ROUND-HZ-008	README.md
agent_009	1	56806	TUNABLE_FULL_EXAMINE_ROUND-HZ-009	hooks/lib
agent_010	1	13996	TUNABLE_FULL_EXAMINE_ROUND-HZ-010	prompt-template/block
agent_011	1	6893	TUNABLE_FULL_EXAMINE_ROUND-HZ-011	prompt-template/claude
agent_012	1	10385	TUNABLE_FULL_EXAMINE_ROUND-HZ-012	prompt-template/codex
agent_013	1	2959	TUNABLE_FULL_EXAMINE_ROUND-HZ-013	prompt-template/plan
agent_014	1	6761	TUNABLE_FULL_EXAMINE_ROUND-HZ-014	prompt-template/pr-loop
agent_015	1	17436	TUNABLE_FULL_EXAMINE_ROUND-HZ-015	scripts/lib
agent_016	1	267311	TUNABLE_FULL_EXAMINE_ROUND-HZ-016	tests/robustness
agent_017	1	1788	TUNABLE_FULL_EXAMINE_ROUND-HZ-017	agents/draft-relevance-checker.md
agent_018	1	953	TUNABLE_FULL_EXAMINE_ROUND-HZ-018	commands/cancel-pr-loop.md
agent_019	1	1914	TUNABLE_FULL_EXAMINE_ROUND-HZ-019	commands/cancel-rlcr-loop.md
agent_020	1	12548	TUNABLE_FULL_EXAMINE_ROUND-HZ-020	commands/gen-plan.md
agent_021	1	2349	TUNABLE_FULL_EXAMINE_ROUND-HZ-021	commands/start-pr-loop.md
agent_022	1	3839	TUNABLE_FULL_EXAMINE_ROUND-HZ-022	commands/start-rlcr-loop.md
agent_023	1	4754	TUNABLE_FULL_EXAMINE_ROUND-HZ-023	hooks/check-todos-from-transcript.py
agent_024	1	1580	TUNABLE_FULL_EXAMINE_ROUND-HZ-024	hooks/hooks.json
agent_025	1	16755	TUNABLE_FULL_EXAMINE_ROUND-HZ-025	hooks/loop-bash-validator.sh
agent_026	1	60345	TUNABLE_FULL_EXAMINE_ROUND-HZ-026	hooks/loop-codex-stop-hook.sh
agent_027	1	5982	TUNABLE_FULL_EXAMINE_ROUND-HZ-027	hooks/loop-edit-validator.sh
agent_028	1	7983	TUNABLE_FULL_EXAMINE_ROUND-HZ-028	hooks/loop-plan-file-validator.sh
agent_029	1	5210	TUNABLE_FULL_EXAMINE_ROUND-HZ-029	hooks/loop-read-validator.sh
agent_030	1	9044	TUNABLE_FULL_EXAMINE_ROUND-HZ-030	hooks/loop-write-validator.sh
agent_031	1	68799	TUNABLE_FULL_EXAMINE_ROUND-HZ-031	hooks/pr-loop-stop-hook.sh
agent_032	1	3498	TUNABLE_FULL_EXAMINE_ROUND-HZ-032	scripts/cancel-pr-loop.sh
agent_033	1	4248	TUNABLE_FULL_EXAMINE_ROUND-HZ-033	scripts/cancel-rlcr-loop.sh
agent_034	1	11495	TUNABLE_FULL_EXAMINE_ROUND-HZ-034	scripts/check-bot-reactions.sh
agent_035	1	9834	TUNABLE_FULL_EXAMINE_ROUND-HZ-035	scripts/check-pr-reviewer-status.sh
agent_036	1	14503	TUNABLE_FULL_EXAMINE_ROUND-HZ-036	scripts/fetch-pr-comments.sh
agent_037	1	55359	TUNABLE_FULL_EXAMINE_ROUND-HZ-037	scripts/humanize.sh
agent_038	1	9682	TUNABLE_FULL_EXAMINE_ROUND-HZ-038	scripts/poll-pr-reviews.sh
agent_039	1	2116	TUNABLE_FULL_EXAMINE_ROUND-HZ-039	scripts/portable-timeout.sh
agent_040	1	29557	TUNABLE_FULL_EXAMINE_ROUND-HZ-040	scripts/setup-pr-loop.sh
agent_041	1	38477	TUNABLE_FULL_EXAMINE_ROUND-HZ-041	scripts/setup-rlcr-loop.sh
agent_042	1	4822	TUNABLE_FULL_EXAMINE_ROUND-HZ-042	scripts/validate-gen-plan-io.sh
agent_043	1	2527	TUNABLE_FULL_EXAMINE_ROUND-HZ-043	tests/manual-monitor-test.sh
agent_044	1	4629	TUNABLE_FULL_EXAMINE_ROUND-HZ-044	tests/run-all-tests.sh
agent_045	1	2860	TUNABLE_FULL_EXAMINE_ROUND-HZ-045	tests/setup-fixture-mock-gh.sh
agent_046	1	2066	TUNABLE_FULL_EXAMINE_ROUND-HZ-046	tests/setup-monitor-test-env.sh
agent_047	1	14613	TUNABLE_FULL_EXAMINE_ROUND-HZ-047	tests/test-allowlist-validators.sh
agent_048	1	5801	TUNABLE_FULL_EXAMINE_ROUND-HZ-048	tests/test-ansi-parsing.sh
agent_049	1	6658	TUNABLE_FULL_EXAMINE_ROUND-HZ-049	tests/test-bash-validator-patterns.sh
agent_050	1	41264	TUNABLE_FULL_EXAMINE_ROUND-HZ-050	tests/test-cancel-signal-file.sh
agent_051	1	10985	TUNABLE_FULL_EXAMINE_ROUND-HZ-051	tests/test-codex-review-merge.sh
agent_052	1	7691	TUNABLE_FULL_EXAMINE_ROUND-HZ-052	tests/test-error-scenarios.sh
agent_053	1	31038	TUNABLE_FULL_EXAMINE_ROUND-HZ-053	tests/test-finalize-phase.sh
agent_054	1	18858	TUNABLE_FULL_EXAMINE_ROUND-HZ-054	tests/test-gen-plan.sh
agent_055	1	2594	TUNABLE_FULL_EXAMINE_ROUND-HZ-055	tests/test-helpers.sh
agent_056	1	12037	TUNABLE_FULL_EXAMINE_ROUND-HZ-056	tests/test-humanize-escape.sh
agent_057	1	30012	TUNABLE_FULL_EXAMINE_ROUND-HZ-057	tests/test-monitor-e2e-real.sh
agent_058	1	13242	TUNABLE_FULL_EXAMINE_ROUND-HZ-058	tests/test-monitor-runtime.sh
agent_059	1	35614	TUNABLE_FULL_EXAMINE_ROUND-HZ-059	tests/test-plan-file-hooks.sh
agent_060	1	22893	TUNABLE_FULL_EXAMINE_ROUND-HZ-060	tests/test-plan-file-validation.sh
