item_id	path_type	path	assigned_agent	status	master_state	output_rel	item_id_mentions	has_item_heading	bytes	sha16	depth	core_descendant_files	reason	master_evidence
VCS_CLI_ON_PLAN_FILE-HZ-001	directory	.	agent_01	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_01/output.md	1	yes	261423	-	0	60	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
VCS_CLI_ON_PLAN_FILE-HZ-002	directory	commands	agent_02	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_02/output.md	1	yes	3402	-	1	2	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
VCS_CLI_ON_PLAN_FILE-HZ-003	directory	hooks	agent_03	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_03/output.md	1	yes	90100	-	1	10	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
VCS_CLI_ON_PLAN_FILE-HZ-004	directory	prompt-template	agent_04	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_04/output.md	1	yes	27875	-	1	39	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
VCS_CLI_ON_PLAN_FILE-HZ-005	directory	scripts	agent_05	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_05/output.md	1	yes	43868	-	1	3	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
VCS_CLI_ON_PLAN_FILE-HZ-006	directory	tests	agent_06	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_06/output.md	1	yes	84444	-	1	5	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
VCS_CLI_ON_PLAN_FILE-HZ-007	file	README.md	agent_07	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_07/output.md	2	yes	11734	a2c791956a6fbf6d	0		behavior-defining documentation for workflow/state-machine algorithms	status complete; output exists; item_id present in assigned output
VCS_CLI_ON_PLAN_FILE-HZ-008	directory	hooks/lib	agent_08	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_08/output.md	2	yes	18816	-	2	2	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
VCS_CLI_ON_PLAN_FILE-HZ-009	directory	prompt-template/block	agent_09	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_09/output.md	1	yes	16015	-	2	31	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
VCS_CLI_ON_PLAN_FILE-HZ-010	directory	prompt-template/claude	agent_10	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_10/output.md	1	yes	2735	-	2	5	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
