item_id	path_type	path	assigned_agent	status	master_state	output_rel	item_id_mentions	has_item_heading	bytes	sha16	depth	core_descendant_files	reason	master_evidence
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-001	directory	.	agent_01	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_01/output.md	1	yes	430780	-	0	65	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-002	directory	commands	agent_02	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_02/output.md	1	yes	3941	-	1	2	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-003	directory	hooks	agent_03	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_03/output.md	2	yes	109930	-	1	10	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-004	directory	prompt-template	agent_04	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_04/output.md	1	yes	23764	-	1	35	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-005	directory	scripts	agent_05	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_05/output.md	1	yes	56399	-	1	3	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-006	directory	tests	agent_06	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_06/output.md	2	yes	227150	-	1	14	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-007	file	README.md	agent_07	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_07/output.md	1	yes	9596	4d137c52f3aed66b	0		behavior-defining documentation for workflow/state-machine algorithms	status complete; output exists; item_id present in assigned output
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-008	directory	hooks/lib	agent_08	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_08/output.md	1	yes	25516	-	2	2	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-009	directory	prompt-template/block	agent_09	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_09/output.md	2	yes	10278	-	2	26	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-010	directory	prompt-template/claude	agent_10	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_10/output.md	1	yes	4385	-	2	6	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-011	directory	prompt-template/codex	agent_11	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_11/output.md	2	yes	9101	-	2	3	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-012	file	commands/cancel-rlcr-loop.md	agent_12	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_12/output.md	1	yes	1531	2dc359b20e9cdaaf	2		command workflow definition for plan/RLCR algorithms	status complete; output exists; item_id present in assigned output
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-013	file	commands/start-rlcr-loop.md	agent_13	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_13/output.md	1	yes	2410	005ee49d60ac9f36	2		command workflow definition for plan/RLCR algorithms	status complete; output exists; item_id present in assigned output
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-014	file	hooks/check-todos-from-transcript.py	agent_14	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_14/output.md	1	yes	4496	ec13bdb525fa510b	2		hook or validator implementation for the RLCR state machine	status complete; output exists; item_id present in assigned output
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-015	file	hooks/hooks.json	agent_15	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_15/output.md	1	yes	1402	acdbc9966d325548	2		hook or validator implementation for the RLCR state machine	status complete; output exists; item_id present in assigned output
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-016	file	hooks/loop-bash-validator.sh	agent_16	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_16/output.md	1	yes	12682	704118e323837244	2		hook or validator implementation for the RLCR state machine	status complete; output exists; item_id present in assigned output
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-017	file	hooks/loop-codex-stop-hook.sh	agent_17	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_17/output.md	2	yes	40793	5d99cf2a9ebc12da	2		hook or validator implementation for the RLCR state machine	status complete; output exists; item_id present in assigned output
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-018	file	hooks/loop-edit-validator.sh	agent_18	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_18/output.md	1	yes	4895	52e0ae2b36044c8a	2		hook or validator implementation for the RLCR state machine	status complete; output exists; item_id present in assigned output
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-019	file	hooks/loop-plan-file-validator.sh	agent_19	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_19/output.md	1	yes	7833	96191eb934322a44	2		hook or validator implementation for the RLCR state machine	status complete; output exists; item_id present in assigned output
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-020	file	hooks/loop-read-validator.sh	agent_20	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_20/output.md	1	yes	4636	5b9a1c93a0489fb5	2		hook or validator implementation for the RLCR state machine	status complete; output exists; item_id present in assigned output
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-021	file	hooks/loop-write-validator.sh	agent_21	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_21/output.md	1	yes	7677	f61ff9664e8b1338	2		hook or validator implementation for the RLCR state machine	status complete; output exists; item_id present in assigned output
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-022	file	scripts/humanize.sh	agent_22	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_22/output.md	1	yes	29644	84f4ba9939003554	2		runtime script implementing workflow, routing, monitor, validation, or state behavior	status complete; output exists; item_id present in assigned output
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-023	file	scripts/portable-timeout.sh	agent_23	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_23/output.md	1	yes	2116	0e35de1118d19699	2		runtime script implementing workflow, routing, monitor, validation, or state behavior	status complete; output exists; item_id present in assigned output
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-024	file	scripts/setup-rlcr-loop.sh	agent_24	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_24/output.md	1	yes	24639	fbb50664e29713a1	2		runtime script implementing workflow, routing, monitor, validation, or state behavior	status complete; output exists; item_id present in assigned output
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-025	file	tests/run-all-tests.sh	agent_25	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_25/output.md	1	yes	2772	3e99c808bbab1aba	2		executable specification for core algorithm behavior	status complete; output exists; item_id present in assigned output
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-026	file	tests/test-allowlist-validators.sh	agent_26	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_26/output.md	1	yes	14573	96c979129fa57121	2		executable specification for core algorithm behavior	status complete; output exists; item_id present in assigned output
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-027	file	tests/test-ansi-parsing.sh	agent_27	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_27/output.md	2	yes	5801	1ce1261d36446df1	2		executable specification for core algorithm behavior	status complete; output exists; item_id present in assigned output
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-028	file	tests/test-bash-validator-patterns.sh	agent_28	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_28/output.md	1	yes	6658	8a01aab8994ab5f7	2		executable specification for core algorithm behavior	status complete; output exists; item_id present in assigned output
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-029	file	tests/test-cancel-signal-file.sh	agent_29	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_29/output.md	1	yes	41224	bf3d0fd3da678b05	2		executable specification for core algorithm behavior	status complete; output exists; item_id present in assigned output
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-030	file	tests/test-error-scenarios.sh	agent_30	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_30/output.md	1	yes	7691	a3d02e87805da569	2		executable specification for core algorithm behavior	status complete; output exists; item_id present in assigned output
