item_id	path_type	path	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
ADD_COMMIT_PLAN_FILE_CLI-HZ-001	directory	.	agent_01	254954	-	0	55	directory contains included core algorithm descendant(s)
ADD_COMMIT_PLAN_FILE_CLI-HZ-002	directory	commands	agent_02	3751	-	1	2	directory contains included core algorithm descendant(s)
ADD_COMMIT_PLAN_FILE_CLI-HZ-003	directory	hooks	agent_03	77255	-	1	10	directory contains included core algorithm descendant(s)
ADD_COMMIT_PLAN_FILE_CLI-HZ-004	directory	prompt-template	agent_04	21484	-	1	32	directory contains included core algorithm descendant(s)
ADD_COMMIT_PLAN_FILE_CLI-HZ-005	directory	scripts	agent_05	45919	-	1	3	directory contains included core algorithm descendant(s)
ADD_COMMIT_PLAN_FILE_CLI-HZ-006	directory	tests	agent_06	96907	-	1	7	directory contains included core algorithm descendant(s)
ADD_COMMIT_PLAN_FILE_CLI-HZ-007	file	README.md	agent_07	9638	5cc2f758ca34753e	0		behavior-defining documentation for workflow/state-machine algorithms
ADD_COMMIT_PLAN_FILE_CLI-HZ-008	directory	hooks/lib	agent_08	14378	-	2	2	directory contains included core algorithm descendant(s)
ADD_COMMIT_PLAN_FILE_CLI-HZ-009	directory	prompt-template/block	agent_09	9624	-	2	24	directory contains included core algorithm descendant(s)
ADD_COMMIT_PLAN_FILE_CLI-HZ-010	directory	prompt-template/claude	agent_10	2735	-	2	5	directory contains included core algorithm descendant(s)
ADD_COMMIT_PLAN_FILE_CLI-HZ-011	directory	prompt-template/codex	agent_11	9125	-	2	3	directory contains included core algorithm descendant(s)
ADD_COMMIT_PLAN_FILE_CLI-HZ-012	file	commands/cancel-rlcr-loop.md	agent_12	1341	400fc8d29c4144ea	2		command workflow definition for plan/RLCR algorithms
ADD_COMMIT_PLAN_FILE_CLI-HZ-013	file	commands/start-rlcr-loop.md	agent_13	2410	005ee49d60ac9f36	2		command workflow definition for plan/RLCR algorithms
ADD_COMMIT_PLAN_FILE_CLI-HZ-014	file	hooks/check-todos-from-transcript.py	agent_14	4425	44d0d28cf2dab213	2		hook or validator implementation for the RLCR state machine
ADD_COMMIT_PLAN_FILE_CLI-HZ-015	file	hooks/hooks.json	agent_15	1402	acdbc9966d325548	2		hook or validator implementation for the RLCR state machine
ADD_COMMIT_PLAN_FILE_CLI-HZ-016	file	hooks/loop-bash-validator.sh	agent_16	4546	16b1f6364fa75621	2		hook or validator implementation for the RLCR state machine
ADD_COMMIT_PLAN_FILE_CLI-HZ-017	file	hooks/loop-codex-stop-hook.sh	agent_17	33692	e3ad9b7ff5264b49	2		hook or validator implementation for the RLCR state machine
ADD_COMMIT_PLAN_FILE_CLI-HZ-018	file	hooks/loop-edit-validator.sh	agent_18	4035	a90c078af3784425	2		hook or validator implementation for the RLCR state machine
ADD_COMMIT_PLAN_FILE_CLI-HZ-019	file	hooks/loop-plan-file-validator.sh	agent_19	4812	47884f8b511bd0b2	2		hook or validator implementation for the RLCR state machine
ADD_COMMIT_PLAN_FILE_CLI-HZ-020	file	hooks/loop-read-validator.sh	agent_20	4005	c7961ccb60569f66	2		hook or validator implementation for the RLCR state machine
ADD_COMMIT_PLAN_FILE_CLI-HZ-021	file	hooks/loop-write-validator.sh	agent_21	5960	e414dcff98e2d748	2		hook or validator implementation for the RLCR state machine
ADD_COMMIT_PLAN_FILE_CLI-HZ-022	file	scripts/humanize.sh	agent_22	22548	d55a2e13c661d314	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
ADD_COMMIT_PLAN_FILE_CLI-HZ-023	file	scripts/portable-timeout.sh	agent_23	2116	0e35de1118d19699	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
ADD_COMMIT_PLAN_FILE_CLI-HZ-024	file	scripts/setup-rlcr-loop.sh	agent_24	21255	0488c2cd99c02dd2	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
ADD_COMMIT_PLAN_FILE_CLI-HZ-025	file	tests/test-error-scenarios.sh	agent_25	3652	8c6badba785c33c4	2		executable specification for core algorithm behavior
ADD_COMMIT_PLAN_FILE_CLI-HZ-026	file	tests/test-plan-file-hooks.sh	agent_26	23428	f2456eeb2ed5e55c	2		executable specification for core algorithm behavior
ADD_COMMIT_PLAN_FILE_CLI-HZ-027	file	tests/test-plan-file-validation.sh	agent_27	17638	b44daa371e49bc02	2		executable specification for core algorithm behavior
ADD_COMMIT_PLAN_FILE_CLI-HZ-028	file	tests/test-state-exit-naming.sh	agent_28	7027	7dc48f7694f099f5	2		executable specification for core algorithm behavior
ADD_COMMIT_PLAN_FILE_CLI-HZ-029	file	tests/test-template-loader.sh	agent_29	18077	84e147b01af69505	2		executable specification for core algorithm behavior
ADD_COMMIT_PLAN_FILE_CLI-HZ-030	file	tests/test-template-references.sh	agent_30	7095	8472a7490cad3071	2		executable specification for core algorithm behavior
ADD_COMMIT_PLAN_FILE_CLI-HZ-031	file	tests/test-templates-comprehensive.sh	agent_01	19990	90cce2d7a176322d	2		executable specification for core algorithm behavior
