item_id	path_type	path	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-001	directory	.	agent_01	1667024	-	0	172	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-002	directory	agents	agent_02	12261	-	1	4	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-003	directory	commands	agent_03	69944	-	1	4	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-004	directory	config	agent_04	562	-	1	2	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-005	directory	docs	agent_05	17553	-	1	2	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-006	directory	hooks	agent_06	257976	-	1	13	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-007	directory	prompt-template	agent_07	60538	-	1	63	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-008	directory	scripts	agent_08	253052	-	1	17	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-009	directory	skills	agent_09	25778	-	1	6	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-010	directory	templates	agent_10	687	-	1	1	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-011	directory	tests	agent_11	964928	-	1	59	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-012	file	README.md	agent_12	3745	846293349f0a5db8	0		behavior-defining documentation for workflow/state-machine algorithms
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-013	directory	hooks/lib	agent_13	91282	-	2	4	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-014	directory	prompt-template/block	agent_14	16588	-	2	42	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-015	directory	prompt-template/claude	agent_15	22925	-	2	14	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-016	directory	prompt-template/codex	agent_16	12759	-	2	5	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-017	directory	prompt-template/plan	agent_17	8266	-	2	2	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-018	directory	scripts/lib	agent_18	42166	-	2	4	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-019	directory	skills/ask-codex	agent_19	1983	-	2	1	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-020	directory	skills/ask-gemini	agent_20	2410	-	2	1	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-021	directory	skills/humanize	agent_21	7446	-	2	1	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-022	directory	skills/humanize-gen-plan	agent_22	3958	-	2	1	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-023	directory	skills/humanize-refine-plan	agent_23	6293	-	2	1	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-024	directory	skills/humanize-rlcr	agent_24	3688	-	2	1	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-025	directory	tests/robustness	agent_25	256955	-	2	16	directory contains included core algorithm descendant(s)
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-026	file	agents/bitlesson-selector.md	agent_26	1444	d047d095022bef7a	2		agent prompt/policy file defining review or planning behavior
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-027	file	agents/draft-relevance-checker.md	agent_27	1788	98f5a6a069791828	2		agent prompt/policy file defining review or planning behavior
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-028	file	agents/plan-compliance-checker.md	agent_28	3619	f0bd96dcc65b6130	2		agent prompt/policy file defining review or planning behavior
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-029	file	agents/plan-understanding-quiz.md	agent_29	5410	94c1d37780effdd0	2		agent prompt/policy file defining review or planning behavior
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-030	file	commands/cancel-rlcr-loop.md	agent_30	2060	3346e34ef785b02c	2		command workflow definition for plan/RLCR algorithms
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-031	file	commands/gen-plan.md	agent_01	33068	764e6d690a4f2f25	2		command workflow definition for plan/RLCR algorithms
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-032	file	commands/refine-plan.md	agent_02	23115	cb55fada000f8ae4	2		command workflow definition for plan/RLCR algorithms
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-033	file	commands/start-rlcr-loop.md	agent_03	11701	8811785765cdb487	2		command workflow definition for plan/RLCR algorithms
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-034	file	config/codex-hooks.json	agent_04	383	5876dc9d0d6f89a6	2		runtime configuration or hook schema participating in gates/routing
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-035	file	config/default_config.json	agent_05	179	37a67b0b19edeaed	2		runtime configuration or hook schema participating in gates/routing
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-036	file	docs/bitlesson.md	agent_06	1896	5e0accc0ae90aae0	2		behavior-defining documentation for workflow/state-machine algorithms
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-037	file	docs/usage.md	agent_07	15657	a07ea030acba71df	2		behavior-defining documentation for workflow/state-machine algorithms
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-038	file	hooks/check-todos-from-transcript.py	agent_08	7509	8cabe046e7a6cfda	2		hook or validator implementation for the RLCR state machine
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-039	file	hooks/hooks.json	agent_09	1633	cdf5736bc5c9a19e	2		hook or validator implementation for the RLCR state machine
DO_NOT_BLOCK_STOP_WHEN_BACKGROUND_RUNNING-HZ-040	file	hooks/loop-bash-validator.sh	agent_10	23513	4c0b29931481a1e9	2		hook or validator implementation for the RLCR state machine
