item_id	path_type	path	included	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
ASK_GEMINI-HZ-001	directory	.	yes	agent_01	2020205	-	0	200	directory contains included core algorithm descendant(s)
ASK_GEMINI-SKIP-001	directory	.claude	no		0	-	1	0	directory only contains skipped non-core files
ASK_GEMINI-SKIP-002	directory	.claude-plugin	no		0	-	1	0	directory only contains skipped non-core files
ASK_GEMINI-SKIP-003	directory	.github	no		0	-	1	0	directory only contains skipped non-core files
ASK_GEMINI-HZ-002	directory	agents	yes	agent_02	12261	-	1	4	directory contains included core algorithm descendant(s)
ASK_GEMINI-HZ-003	directory	commands	yes	agent_03	71991	-	1	6	directory contains included core algorithm descendant(s)
ASK_GEMINI-HZ-004	directory	config	yes	agent_04	786	-	1	2	directory contains included core algorithm descendant(s)
ASK_GEMINI-HZ-005	directory	docs	yes	agent_05	18469	-	1	2	directory contains included core algorithm descendant(s)
ASK_GEMINI-HZ-006	directory	hooks	yes	agent_06	318772	-	1	13	directory contains included core algorithm descendant(s)
ASK_GEMINI-HZ-007	directory	prompt-template	yes	agent_07	67951	-	1	72	directory contains included core algorithm descendant(s)
ASK_GEMINI-HZ-008	directory	scripts	yes	agent_08	353611	-	1	23	directory contains included core algorithm descendant(s)
ASK_GEMINI-HZ-009	directory	skills	yes	agent_09	27223	-	1	6	directory contains included core algorithm descendant(s)
ASK_GEMINI-HZ-010	directory	templates	yes	agent_10	687	-	1	1	directory contains included core algorithm descendant(s)
ASK_GEMINI-HZ-011	directory	tests	yes	agent_11	1144854	-	1	70	directory contains included core algorithm descendant(s)
ASK_GEMINI-SKIP-004	file	.gitignore	no		206	13686bf82565034d	0		metadata only; not algorithm behavior
ASK_GEMINI-HZ-012	file	README.md	yes	agent_12	3600	bd9bacdad182a1ed	0		behavior-defining documentation for workflow/state-machine algorithms
ASK_GEMINI-SKIP-005	directory	.github/workflows	no		0	-	2	0	directory only contains skipped non-core files
ASK_GEMINI-SKIP-006	directory	docs/images	no		0	-	2	0	directory only contains skipped non-core files
ASK_GEMINI-HZ-013	directory	hooks/lib	yes	agent_13	82792	-	2	3	directory contains included core algorithm descendant(s)
ASK_GEMINI-HZ-014	directory	prompt-template/block	yes	agent_14	17764	-	2	45	directory contains included core algorithm descendant(s)
ASK_GEMINI-HZ-015	directory	prompt-template/claude	yes	agent_15	22928	-	2	14	directory contains included core algorithm descendant(s)
ASK_GEMINI-HZ-016	directory	prompt-template/codex	yes	agent_16	12232	-	2	4	directory contains included core algorithm descendant(s)
ASK_GEMINI-HZ-017	directory	prompt-template/plan	yes	agent_17	8266	-	2	2	directory contains included core algorithm descendant(s)
ASK_GEMINI-HZ-018	directory	prompt-template/pr-loop	yes	agent_18	6761	-	2	7	directory contains included core algorithm descendant(s)
ASK_GEMINI-HZ-019	directory	scripts/lib	yes	agent_19	48291	-	2	4	directory contains included core algorithm descendant(s)
ASK_GEMINI-HZ-020	directory	skills/ask-codex	yes	agent_20	1983	-	2	1	directory contains included core algorithm descendant(s)
ASK_GEMINI-HZ-021	directory	skills/ask-gemini	yes	agent_21	2410	-	2	1	directory contains included core algorithm descendant(s)
ASK_GEMINI-HZ-022	directory	skills/humanize	yes	agent_22	8891	-	2	1	directory contains included core algorithm descendant(s)
ASK_GEMINI-HZ-023	directory	skills/humanize-gen-plan	yes	agent_23	3958	-	2	1	directory contains included core algorithm descendant(s)
