agent	item_count	total_bytes	item_ids	paths
agent_01	4	688276	FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-001,FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-031,FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-061,FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-091	.; tests/manual-monitor-test.sh; prompt-template/block/git-status-failed.md; tests/robustness/test-git-operations-robustness.sh
agent_02	4	20315	FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-002,FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-032,FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-062,FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-092	agents; tests/run-all-tests.sh; prompt-template/block/goal-tracker-bash-write.md; tests/robustness/test-goal-tracker-robustness.sh
agent_03	4	51734	FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-003,FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-033,FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-063,FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-093	commands; tests/test-allowlist-validators.sh; prompt-template/block/goal-tracker-modification.md; tests/robustness/test-hook-input-robustness.sh
agent_04	4	145328	FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-004,FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-034,FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-064,FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-094	hooks; tests/test-ansi-parsing.sh; prompt-template/block/goal-tracker-not-initialized.md; tests/robustness/test-path-validation-robustness.sh
agent_05	4	46626	FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-005,FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-035,FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-065,FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-095	prompt-template; tests/test-bash-validator-patterns.sh; prompt-template/block/incomplete-todos.md; tests/robustness/test-plan-file-robustness.sh
agent_06	4	125881	FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-006,FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-036,FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-066,FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-096	scripts; tests/test-cancel-signal-file.sh; prompt-template/block/large-files.md; tests/robustness/test-session-robustness.sh
agent_07	4	446431	FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-007,FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-037,FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-067,FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-097	tests; tests/test-error-scenarios.sh; prompt-template/block/plan-backup-protected.md; tests/robustness/test-state-file-robustness.sh
agent_08	4	36678	FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-008,FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-038,FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-068,FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-098	README.md; tests/test-finalize-phase.sh; prompt-template/block/plan-file-modified.md; tests/robustness/test-template-stress-robustness.sh
agent_09	4	66059	FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-009,FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-039,FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-069,FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-099	hooks/lib; tests/test-gen-plan.sh; prompt-template/block/prompt-file-write.md; tests/robustness/test-timeout-robustness.sh
agent_10	3	14389	FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-010,FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-040,FIX_TOO_STRICT_RULE_AND_ENHANCE_PLAN_GEN-HZ-070	prompt-template/block; tests/test-helpers.sh; prompt-template/block/schema-outdated.md
