item_id	path_type	path	included	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-001	directory	.	yes	agent_01	1171650	-	0	123	directory contains included core algorithm descendant(s)
ENHANCE_RLCR_WITH_REVIEW_LOOP-SKIP-001	directory	.claude	no		0	-	1	0	directory only contains skipped non-core files
ENHANCE_RLCR_WITH_REVIEW_LOOP-SKIP-002	directory	.claude-plugin	no		0	-	1	0	directory only contains skipped non-core files
ENHANCE_RLCR_WITH_REVIEW_LOOP-SKIP-003	directory	.github	no		0	-	1	0	directory only contains skipped non-core files
ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-002	directory	agents	yes	agent_02	1788	-	1	1	directory contains included core algorithm descendant(s)
ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-003	directory	commands	yes	agent_03	20921	-	1	5	directory contains included core algorithm descendant(s)
ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-004	directory	hooks	yes	agent_04	234315	-	1	11	directory contains included core algorithm descendant(s)
ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-005	directory	prompt-template	yes	agent_05	41071	-	1	52	directory contains included core algorithm descendant(s)
ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-006	directory	scripts	yes	agent_06	194605	-	1	12	directory contains included core algorithm descendant(s)
ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-007	directory	tests	yes	agent_07	672646	-	1	41	directory contains included core algorithm descendant(s)
ENHANCE_RLCR_WITH_REVIEW_LOOP-SKIP-004	file	.gitignore	no		120	ce8146019ad5a484	0		metadata only; not algorithm behavior
ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-008	file	README.md	yes	agent_08	6304	3d23f9a641be9de0	0		behavior-defining documentation for workflow/state-machine algorithms
ENHANCE_RLCR_WITH_REVIEW_LOOP-SKIP-005	directory	.github/workflows	no		0	-	2	0	directory only contains skipped non-core files
ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-009	directory	hooks/lib	yes	agent_09	56242	-	2	2	directory contains included core algorithm descendant(s)
ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-010	directory	prompt-template/block	yes	agent_10	14011	-	2	32	directory contains included core algorithm descendant(s)
ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-011	directory	prompt-template/claude	yes	agent_11	6966	-	2	8	directory contains included core algorithm descendant(s)
ENHANCE_RLCR_WITH_REVIEW_LOOP-HZ-012	directory	prompt-template/codex	yes	agent_12	10374	-	2	4	directory contains included core algorithm descendant(s)
