item_id	path_type	path	included	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
ADD_CAREFUL_MODE_V1_6_5-HZ-001	directory	.	yes	agent_01	1332087	-	0	130	directory contains included core algorithm descendant(s)
ADD_CAREFUL_MODE_V1_6_5-SKIP-001	directory	.claude	no		0	-	1	0	directory only contains skipped non-core files
ADD_CAREFUL_MODE_V1_6_5-SKIP-002	directory	.claude-plugin	no		0	-	1	0	directory only contains skipped non-core files
ADD_CAREFUL_MODE_V1_6_5-SKIP-003	directory	.github	no		0	-	1	0	directory only contains skipped non-core files
ADD_CAREFUL_MODE_V1_6_5-HZ-002	directory	agents	yes	agent_02	1788	-	1	1	directory contains included core algorithm descendant(s)
ADD_CAREFUL_MODE_V1_6_5-HZ-003	directory	commands	yes	agent_03	21626	-	1	5	directory contains included core algorithm descendant(s)
ADD_CAREFUL_MODE_V1_6_5-HZ-004	directory	hooks	yes	agent_04	242044	-	1	11	directory contains included core algorithm descendant(s)
ADD_CAREFUL_MODE_V1_6_5-HZ-005	directory	prompt-template	yes	agent_05	41285	-	1	53	directory contains included core algorithm descendant(s)
ADD_CAREFUL_MODE_V1_6_5-HZ-006	directory	scripts	yes	agent_06	206920	-	1	12	directory contains included core algorithm descendant(s)
ADD_CAREFUL_MODE_V1_6_5-HZ-007	directory	tests	yes	agent_07	811576	-	1	47	directory contains included core algorithm descendant(s)
ADD_CAREFUL_MODE_V1_6_5-SKIP-004	file	.gitignore	no		120	ce8146019ad5a484	0		metadata only; not algorithm behavior
ADD_CAREFUL_MODE_V1_6_5-HZ-008	file	README.md	yes	agent_08	6848	ee9e7ffc3f3fc6c4	0		behavior-defining documentation for workflow/state-machine algorithms
ADD_CAREFUL_MODE_V1_6_5-SKIP-005	directory	.github/workflows	no		0	-	2	0	directory only contains skipped non-core files
ADD_CAREFUL_MODE_V1_6_5-HZ-009	directory	hooks/lib	yes	agent_09	57403	-	2	2	directory contains included core algorithm descendant(s)
ADD_CAREFUL_MODE_V1_6_5-HZ-010	directory	prompt-template/block	yes	agent_10	14056	-	2	32	directory contains included core algorithm descendant(s)
ADD_CAREFUL_MODE_V1_6_5-HZ-011	directory	prompt-template/claude	yes	agent_11	7124	-	2	9	directory contains included core algorithm descendant(s)
ADD_CAREFUL_MODE_V1_6_5-HZ-012	directory	prompt-template/codex	yes	agent_12	10385	-	2	4	directory contains included core algorithm descendant(s)
ADD_CAREFUL_MODE_V1_6_5-HZ-013	directory	prompt-template/plan	yes	agent_13	2959	-	2	1	directory contains included core algorithm descendant(s)
