item_id	path_type	path	assigned_agent	bytes	sha16	depth	core_descendant_files	reason
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-001	directory	.	agent_01	430780	-	0	65	directory contains included core algorithm descendant(s)
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-002	directory	commands	agent_02	3941	-	1	2	directory contains included core algorithm descendant(s)
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-003	directory	hooks	agent_03	109930	-	1	10	directory contains included core algorithm descendant(s)
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-004	directory	prompt-template	agent_04	23764	-	1	35	directory contains included core algorithm descendant(s)
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-005	directory	scripts	agent_05	56399	-	1	3	directory contains included core algorithm descendant(s)
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-006	directory	tests	agent_06	227150	-	1	14	directory contains included core algorithm descendant(s)
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-007	file	README.md	agent_07	9596	4d137c52f3aed66b	0		behavior-defining documentation for workflow/state-machine algorithms
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-008	directory	hooks/lib	agent_08	25516	-	2	2	directory contains included core algorithm descendant(s)
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-009	directory	prompt-template/block	agent_09	10278	-	2	26	directory contains included core algorithm descendant(s)
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-010	directory	prompt-template/claude	agent_10	4385	-	2	6	directory contains included core algorithm descendant(s)
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-011	directory	prompt-template/codex	agent_11	9101	-	2	3	directory contains included core algorithm descendant(s)
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-012	file	commands/cancel-rlcr-loop.md	agent_12	1531	2dc359b20e9cdaaf	2		command workflow definition for plan/RLCR algorithms
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-013	file	commands/start-rlcr-loop.md	agent_13	2410	005ee49d60ac9f36	2		command workflow definition for plan/RLCR algorithms
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-014	file	hooks/check-todos-from-transcript.py	agent_14	4496	ec13bdb525fa510b	2		hook or validator implementation for the RLCR state machine
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-015	file	hooks/hooks.json	agent_15	1402	acdbc9966d325548	2		hook or validator implementation for the RLCR state machine
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-016	file	hooks/loop-bash-validator.sh	agent_16	12682	704118e323837244	2		hook or validator implementation for the RLCR state machine
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-017	file	hooks/loop-codex-stop-hook.sh	agent_17	40793	5d99cf2a9ebc12da	2		hook or validator implementation for the RLCR state machine
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-018	file	hooks/loop-edit-validator.sh	agent_18	4895	52e0ae2b36044c8a	2		hook or validator implementation for the RLCR state machine
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-019	file	hooks/loop-plan-file-validator.sh	agent_19	7833	96191eb934322a44	2		hook or validator implementation for the RLCR state machine
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-020	file	hooks/loop-read-validator.sh	agent_20	4636	5b9a1c93a0489fb5	2		hook or validator implementation for the RLCR state machine
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-021	file	hooks/loop-write-validator.sh	agent_21	7677	f61ff9664e8b1338	2		hook or validator implementation for the RLCR state machine
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-022	file	scripts/humanize.sh	agent_22	29644	84f4ba9939003554	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-023	file	scripts/portable-timeout.sh	agent_23	2116	0e35de1118d19699	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-024	file	scripts/setup-rlcr-loop.sh	agent_24	24639	fbb50664e29713a1	2		runtime script implementing workflow, routing, monitor, validation, or state behavior
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-025	file	tests/run-all-tests.sh	agent_25	2772	3e99c808bbab1aba	2		executable specification for core algorithm behavior
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-026	file	tests/test-allowlist-validators.sh	agent_26	14573	96c979129fa57121	2		executable specification for core algorithm behavior
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-027	file	tests/test-ansi-parsing.sh	agent_27	5801	1ce1261d36446df1	2		executable specification for core algorithm behavior
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-028	file	tests/test-bash-validator-patterns.sh	agent_28	6658	8a01aab8994ab5f7	2		executable specification for core algorithm behavior
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-029	file	tests/test-cancel-signal-file.sh	agent_29	41224	bf3d0fd3da678b05	2		executable specification for core algorithm behavior
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-030	file	tests/test-error-scenarios.sh	agent_30	7691	a3d02e87805da569	2		executable specification for core algorithm behavior
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-031	file	tests/test-finalize-phase.sh	agent_01	23287	70c818b070314ade	2		executable specification for core algorithm behavior
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-032	file	tests/test-plan-file-hooks.sh	agent_02	34778	64c0668a3783ee0e	2		executable specification for core algorithm behavior
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-033	file	tests/test-plan-file-validation.sh	agent_03	22731	e83ca826ec9a4554	2		executable specification for core algorithm behavior
ADD_A_FINAL_CODE_SIMPLIFIER_AFTER_CODEX_COMPLETE-HZ-034	file	tests/test-state-exit-naming.sh	agent_04	8959	49e6e8153751d7b2	2		executable specification for core algorithm behavior
