item_id	path_type	path	assigned_agent	status	master_state	output_rel	item_id_mentions	has_item_heading	bytes	sha16	depth	core_descendant_files	reason	master_evidence
TUNABLE_FULL_EXAMINE_ROUND-HZ-001	directory	.	agent_001	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_001/output.md	1	yes	1312351	-	0	129	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
TUNABLE_FULL_EXAMINE_ROUND-HZ-002	directory	agents	agent_002	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_002/output.md	1	yes	1788	-	1	1	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
TUNABLE_FULL_EXAMINE_ROUND-HZ-003	directory	commands	agent_003	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_003/output.md	1	yes	21603	-	1	5	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
TUNABLE_FULL_EXAMINE_ROUND-HZ-004	directory	hooks	agent_004	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_004/output.md	2	yes	237258	-	1	11	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
TUNABLE_FULL_EXAMINE_ROUND-HZ-005	directory	prompt-template	agent_005	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_005/output.md	2	yes	40994	-	1	52	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
TUNABLE_FULL_EXAMINE_ROUND-HZ-006	directory	scripts	agent_006	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_006/output.md	1	yes	201027	-	1	12	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
TUNABLE_FULL_EXAMINE_ROUND-HZ-007	directory	tests	agent_007	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_007/output.md	1	yes	803117	-	1	47	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
TUNABLE_FULL_EXAMINE_ROUND-HZ-008	file	README.md	agent_008	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_008/output.md	1	yes	6564	46064102f8d21fff	0		behavior-defining documentation for workflow/state-machine algorithms	status complete; output exists; item_id present in assigned output
TUNABLE_FULL_EXAMINE_ROUND-HZ-009	directory	hooks/lib	agent_009	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_009/output.md	1	yes	56806	-	2	2	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
TUNABLE_FULL_EXAMINE_ROUND-HZ-010	directory	prompt-template/block	agent_010	complete	[x]	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_010/output.md	1	yes	13996	-	2	32	directory contains included core algorithm descendant(s)	status complete; output exists; item_id present in assigned output
